station_id,station_name,cluster,hour,actual_mean,predicted_mean,mae,rmse,gap_mean,peak_rank
2335, 3호선 매봉역 3번출구앞,0,18,6.1150684,5.5770847233570615,2.2071745249501724,2.952088716249228,-0.5379837697936232,1
2335, 3호선 매봉역 3번출구앞,0,19,3.9342465,3.7629741416890097,1.70567366944274,2.199086081938923,-0.17127243365345615,2
2335, 3호선 매봉역 3번출구앞,0,8,5.358904,5.231766329948376,1.6003568220565496,2.1121457441620968,-0.12713777964066614,3
2335, 3호선 매봉역 3번출구앞,0,17,3.0219178,3.2958631923407515,1.465570179563215,1.849944445306099,0.27394538412157377,4
2335, 3호선 매봉역 3번출구앞,0,20,2.5205479,2.530049444569549,1.3758425836315975,1.842947631545714,0.009501499364069773,5
2348, 포스코사거리(기업은행),1,18,6.939726,7.057570928240255,3.0592846378635703,4.287418341472242,0.11784490084299512,1
2348, 포스코사거리(기업은행),1,17,5.6767125,5.918226261269631,2.2330717911448943,3.001651612729767,0.2415139325025072,2
2348, 포스코사거리(기업은행),1,19,2.169863,2.6108731106074896,1.4185587076382256,1.8532966109430093,0.4410100969088596,3
2348, 포스코사거리(기업은행),1,16,2.8273973,2.8424029603876284,1.3750381777174632,1.8654970562570905,0.015005700113656071,4
2348, 포스코사거리(기업은행),1,11,2.079452,1.9250639628652386,1.214198053732628,1.8421566707769135,-0.15438809192928205,5
2377, 수서역 5번출구,0,18,5.8520546,5.550253271447094,2.2372579026716735,3.043460458540743,-0.3018015230734535,1
2377, 수서역 5번출구,0,19,3.9232876,3.783645948838495,1.9728268407211769,2.700743387767277,-0.13964172239438186,2
2377, 수서역 5번출구,0,17,4.169863,4.149371754688286,1.8331936382578005,2.44653410780182,-0.020491259010344466,3
2377, 수서역 5번출구,0,16,2.969863,2.9193619247773857,1.5407180494420267,2.0092800312174908,-0.050501088921244656,4
2377, 수서역 5번출구,0,14,2.2767124,2.1888452922130206,1.4286970603486084,1.8524526729669564,-0.08786703655410281,5
2404, 대모산입구역 4번 출구 앞,2,8,4.230137,3.9063878432410317,1.6188825423300233,2.173818212749625,-0.32374914306033786,1
2404, 대모산입구역 4번 출구 앞,2,18,2.5616438,3.09595848040982,1.4850089162560078,1.8791529845506125,0.5343146447933815,2
2404, 대모산입구역 4번 출구 앞,2,17,2.569863,2.7349059523130963,1.4727301887818696,1.8701649284291928,0.16504293861446592,3
2404, 대모산입구역 4번 출구 앞,2,19,2.4164383,2.5666377994372236,1.4644131242952176,1.858086419286844,0.15019944327283996,4
2404, 대모산입구역 4번 출구 앞,2,14,1.9863014,1.8246157237227576,1.3382755825401618,1.7255293348320249,-0.16168564614025627,5
2405, 청담공원앞 교차로,2,8,3.4849315,3.7508122433876316,3.106079768054995,4.334603490414911,0.2658807365383161,1
2405, 청담공원앞 교차로,2,9,1.3260274,1.9747405783383554,1.58918328218847,2.157431199640579,0.6487131810780814,2
2405, 청담공원앞 교차로,2,7,1.7123288,1.9426420844635275,1.256375354751623,1.7007307410243901,0.23031331734023996,3
2405, 청담공원앞 교차로,2,16,1.6575342,1.0990096301459096,1.0791401973128754,1.496348636318473,-0.5585246164294329,4
2405, 청담공원앞 교차로,2,17,0.9479452,1.4083496415790502,1.0263137649641645,1.3040215056921995,0.46040443609959814,5
