station_id,mapped_dong_code,mapped_dong_name,station_name,주소,latitude,longitude,total_return_count,return_7_10_count,return_11_14_count,return_17_20_count,dominant_ratio,district_hypothesis,life_pop_7_10_mean,life_pop_11_14_mean,life_pop_17_20_mean,arrival_7_10_ratio,arrival_11_14_ratio,arrival_17_20_ratio,morning_net_inflow,evening_net_inflow,subway_distance_m,bus_stop_count_300m,cluster,center_distance
4908,11680531,논현2동, SB타워 앞,강남구 도산대로 318,37.52210999,127.03646088,6688,1875,1282,1455,0.2803528708133971,업무/상업지구 후보,48771.59621426129,62230.2112386115,48357.27645215458,0.2803528708133971,0.1916866028708134,0.2175538277511961,1091.0,-732.0,661.3688034184021,32,0,0.6209048056169213
2328,11680640,역삼1동, 르네상스 호텔 사거리 역삼지하보도 7번출구 앞,서울특별시 강남구 언주로 506,37.50321198,127.04273224,12169,3636,2475,2647,0.2987920124907552,업무/상업지구 후보,112062.8253233242,150148.66741761286,117683.77599746925,0.2987920124907552,0.2033856520667269,0.2175199276851014,739.0,-443.0,497.14653847414985,32,0,0.761846578211505
4902,11680640,역삼1동, 구역삼세무서 교차로,강남구 논현로 337,37.49524307,127.03937531,15530,4503,2797,3423,0.2899549259497746,업무/상업지구 후보,112062.8253233242,150148.66741761286,117683.77599746925,0.2899549259497746,0.1801030264005151,0.2204121056020605,1085.0,-767.0,651.2003108238803,20,0,0.7648380663486349
2364,11680545,압구정동, 도산공원교차로,서울특별시 강남구 도산대로 229 ,37.52124023,127.0318985,9559,2507,1905,2051,0.2622659273982634,업무/상업지구 후보,40653.44209463064,53924.654357660744,48026.726367510266,0.2622659273982634,0.1992886285176273,0.2145621926979809,1037.0,-1410.0,715.8232221238064,28,0,0.8630168950714621
4913,11680580,삼성1동, 레베쌍트 빌딩 앞,봉은사로86길 6,37.51292038,127.056427,7854,2005,1528,1807,0.2552839317545199,업무/상업지구 후보,44052.2044621751,68106.46228580711,46531.80653272913,0.2552839317545199,0.1945505474917239,0.2300738477209065,1158.0,-292.0,277.57681908286526,20,0,0.9039891789180039
2377,11680750,수서동, 수서역 5번출구,서울특별시 강남구 수서동 724-4,37.48735046,127.10232544,40303,14768,6349,8893,0.3664243356573952,업무/상업지구 후보,25623.445430950753,26558.29152739398,23695.385420314637,0.3664243356573952,0.1575316973922536,0.2206535493635709,10143.0,-3075.0,37.046495328444145,64,1,2.6481265499512063
2323,11680610,대치2동, 주식회사 오뚜기 정문 앞,서울특별시 강남구 영동대로 308,37.50221252,127.06720734,10069,5885,1653,1116,0.5844671764822723,업무/상업지구 후보,54042.53933621752,64417.24090506156,55294.00449155267,0.5844671764822723,0.1641672460025821,0.1108352368656271,5101.0,-3404.0,685.5983061163457,28,1,3.2688101180644153
2348,11680580,삼성1동, 포스코사거리(기업은행),서울특별시 강남구 테헤란로 501,37.50723267,127.05685425,37680,19146,5957,5752,0.5081210191082802,업무/상업지구 후보,44052.2044621751,68106.46228580711,46531.80653272913,0.5081210191082802,0.1580944798301486,0.1526539278131634,16019.0,-7627.0,584.3595573163827,48,1,3.3454107619205273
2312,11680565,청담동, 청담역 13번 출구 앞,서울특별시 강남구 영동대로 703,37.52058029,127.05632782,6181,667,858,2222,0.3594887558647468,주거지구 후보,44485.18132588919,53001.089906737354,42721.22389463064,0.1079113412069244,0.1388124898883675,0.3594887558647468,-2109.0,465.0,295.3513348985482,36,2,0.8968872290226284
2354,11680580,삼성1동, 청담역 2번출구,서울특별시 강남구 영동대로 647,37.51978683,127.0567627,3144,369,482,1182,0.3759541984732824,주거지구 후보,44052.2044621751,68106.46228580711,46531.80653272913,0.1173664122137404,0.1533078880407124,0.3759541984732824,-325.0,473.0,304.61175833064755,28,2,0.9898479882553276
4917,11680730,일원1동,일원에코파크 주차장,강남구 일원동 701-2,37.49404526,127.08678436,14563,1879,1859,5279,0.3624939916226052,주거지구 후보,15228.157974316004,14695.19305475376,14142.947929582764,0.1290256128544942,0.1276522694499759,0.3624939916226052,-2565.0,1774.0,642.5549922732143,28,2,1.0621534092987615
2403,11680670,개포2동, 공무원연금매점 교차로 (개포주공9단지 입구),강남구 일원동 703-2,37.48871994,127.07453918,18227,1524,2662,6835,0.3749931420420255,주거지구 후보,33161.69160892613,29830.0458876197,29875.256968433652,0.0836122236242936,0.1460470730235365,0.3749931420420255,-3853.0,2021.0,335.84292860270557,27,2,1.1286848807889824
2339,11680690,개포4동, 현대아파트 정문 앞,서울특별시 강남구 언주로 107,37.48326111,127.0522995,9178,884,1395,3520,0.383525822619307,주거지구 후보,16659.15076863885,15720.087848119014,14737.072746306429,0.0963172804532577,0.1519938984528219,0.383525822619307,-1948.0,713.0,637.2629266381015,20,2,1.1391009922891702
2321,11680610,대치2동, 학여울역 사거리,서울특별시 강남구 남부순환로 지하 3104,37.49611664,127.06944275,8257,961,1579,2595,0.3142787937507569,주거지구 후보,54042.53933621752,64417.24090506156,55294.00449155267,0.1163860966452706,0.1912316822090347,0.3142787937507569,-914.0,240.0,118.34789748598486,28,3,0.6246486174660043
2320,11680600,대치1동, 도곡역 대치지구대 방향,서울특별시 강남구 남부순환로 지하 2814,37.4919281,127.05696869,12008,1635,2538,3537,0.2945536309127248,주거지구 후보,27048.917656600548,28649.684428112178,33072.03014121067,0.1361592271818787,0.2113590939373751,0.2945536309127248,248.0,382.0,174.4177059112112,32,3,0.7784235052544659
3616,11680650,역삼2동, 역삼중학교 앞(체육관 방향),도곡로43길 10,37.49526215,127.04950714,5992,571,1209,1922,0.3207610146862483,주거지구 후보,58832.34507924077,63507.11466898085,51546.29168211355,0.0952937249666221,0.2017690253671562,0.3207610146862483,-496.0,357.0,316.10926862433615,24,3,0.795626104699737
2431,11680600,대치1동,대치역 7번출구,남부순환로155,37.49411774,127.06290436,31274,5184,6478,9021,0.28845047003901,주거지구 후보,27048.917656600548,28649.684428112178,33072.03014121067,0.1657606957856366,0.207136918846326,0.28845047003901,125.0,426.0,85.17955215059632,32,3,0.8066744842735994
2386,11680531,논현2동, 크린랩 본사,논현동 279-166,37.50958633,127.04090881,3468,546,629,985,0.2840253748558247,주거지구 후보,48771.59621426129,62230.2112386115,48357.27645215458,0.157439446366782,0.1813725490196078,0.2840253748558247,-578.0,-603.0,275.5574768692353,32,3,0.8572654903379164
3643,11680700,세곡동, 더시그넘하우스 앞,자곡로 174-14,37.47267914,127.10375977,11456,2050,1860,3723,0.3249825418994413,주거지구 후보,46016.29151874145,40696.17679541724,42582.81225133379,0.178945530726257,0.1623603351955307,0.3249825418994413,-630.0,698.0,1534.1276174416805,32,4,0.7312168735101555
2359,11680690,개포4동," 국립국악중,고교 정문 맞은편",서울특별시 강남구 논현로10길 29,37.47560501,127.05037689,13672,2360,1950,4291,0.3138531304856641,주거지구 후보,16659.15076863885,15720.087848119014,14737.072746306429,0.1726155646576945,0.1426272674078408,0.3138531304856641,-878.0,488.0,1224.2015034746055,36,4,1.333289029843233
2392,11680690,개포4동, 구룡산 입구 (구룡산 서울둘레길 입구),강남구 개포동 1277,37.47447205,127.05545044,789,169,112,217,0.2750316856780735,주거지구 후보,16659.15076863885,15720.087848119014,14737.072746306429,0.2141951837769328,0.1419518377693282,0.2750316856780735,-397.0,-402.0,1407.5934896954195,20,4,1.3562927798978832
3634,11680690,개포4동, 국악고교 앞 교차로,논현로 34,37.47402191,127.04844666,4753,648,674,1406,0.2958131706290763,주거지구 후보,16659.15076863885,15720.087848119014,14737.072746306429,0.1363349463496738,0.1418051756785188,0.2958131706290763,-463.0,179.0,990.2948851676472,28,4,1.466714170217577
