station_id,station_name,cluster,hour,actual_mean,predicted_mean,mae,rmse,gap_mean
2335, 3호선 매봉역 3번출구앞,0,0,0.8356164,0.7908839118793534,0.7443959401401318,0.9760536265297387,-0.044732526476811016
2335, 3호선 매봉역 3번출구앞,0,1,0.26575342,0.4561547112953307,0.5271276783730892,0.635756127160192,0.19040128663779649
2335, 3호선 매봉역 3번출구앞,0,2,0.10958904,0.24355945205123825,0.306489199039055,0.39232474747223345,0.13397041095534784
2335, 3호선 매봉역 3번출구앞,0,3,0.06575342,0.1551831120617465,0.2009642705048981,0.3042259037481131,0.08942968740421225
2335, 3호선 매봉역 3번출구앞,0,4,0.04657534,0.1285555669748928,0.16127489585785276,0.2571864015609939,0.08198022450913936
2335, 3호선 매봉역 3번출구앞,0,5,0.057534248,0.15339849365496258,0.19056508212856801,0.264275537348389,0.09586424707962013
2335, 3호선 매봉역 3번출구앞,0,6,0.49315068,0.6370867205081151,0.5429915014400699,0.666318809809756,0.14393603557660822
2335, 3호선 매봉역 3번출구앞,0,7,2.720548,2.557737822209372,1.1711164905320708,1.6039744879153182,-0.16281012299610745
2335, 3호선 매봉역 3번출구앞,0,8,5.358904,5.231766329948376,1.6003568220565496,2.1121457441620968,-0.12713777964066614
2335, 3호선 매봉역 3번출구앞,0,9,3.0027397,2.82951586006139,1.3186826888317844,1.6858965065716383,-0.17322386596600722
2335, 3호선 매봉역 3번출구앞,0,10,1.2164384,1.4950032005772091,0.9994440507113679,1.2398249067997749,0.27856484441282575
2335, 3호선 매봉역 3번출구앞,0,11,1.5041096,1.6067508490738824,0.9907370627697867,1.2726671247144092,0.10264126003278651
2335, 3호선 매봉역 3번출구앞,0,12,1.7835616,1.8709911112723263,1.1418723057235616,1.4299853883428622,0.08742946743670987
2335, 3호선 매봉역 3번출구앞,0,13,2.0849316,1.8830271710231743,1.1316076372943498,1.4292821083976386,-0.20190433582614092
2335, 3호선 매봉역 3번출구앞,0,14,1.8027397,1.9063876835558586,1.187345118552271,1.5213475719312202,0.10364795752846151
2335, 3호선 매봉역 3번출구앞,0,15,1.7643836,2.010380138103965,1.191161470920796,1.494807706046934,0.2459965764601295
2335, 3호선 매봉역 3번출구앞,0,16,2.2739725,2.3953754666389866,1.2278428932267482,1.6054006993380194,0.12140286389926071
2335, 3호선 매봉역 3번출구앞,0,17,3.0219178,3.2958631923407515,1.465570179563215,1.849944445306099,0.27394538412157377
2335, 3호선 매봉역 3번출구앞,0,18,6.1150684,5.5770847233570615,2.2071745249501724,2.952088716249228,-0.5379837697936232
2335, 3호선 매봉역 3번출구앞,0,19,3.9342465,3.7629741416890097,1.70567366944274,2.199086081938923,-0.17127243365345615
2335, 3호선 매봉역 3번출구앞,0,20,2.5205479,2.530049444569549,1.3758425836315975,1.842947631545714,0.009501499364069773
2335, 3호선 매봉역 3번출구앞,0,21,2.5178082,2.4559672129939387,1.3277360237639626,1.7473895071830392,-0.061841006184143545
2335, 3호선 매봉역 3번출구앞,0,22,1.969863,2.0398302788793927,1.157267622746106,1.4739045530911756,0.0699672651807625
2335, 3호선 매봉역 3번출구앞,0,23,1.0383562,1.045485837840486,0.8060378230926766,1.0303000709136791,0.0071296734569244605
2348, 포스코사거리(기업은행),1,0,0.3452055,0.4500197465606235,0.539802053948207,0.6568785819966282,0.10481426710856871
2348, 포스코사거리(기업은행),1,1,0.35890412,0.3112587330502317,0.4841110411196956,0.6537446827678368,-0.04764537653880937
2348, 포스코사거리(기업은행),1,2,0.2630137,0.22931001818341656,0.3787411841229853,0.558095341781566,-0.03370368044672042
2348, 포스코사거리(기업은행),1,3,0.15342465,0.1587523509743137,0.27012903860800014,0.41851972399665793,0.005327693440067139
2348, 포스코사거리(기업은행),1,4,0.06027397,0.0924527937264064,0.14350209291971763,0.2605650345800237,0.03217882112366669
2348, 포스코사거리(기업은행),1,5,0.04931507,0.09258812101037071,0.13210206664320703,0.22605919666973787,0.04327305251722002
2348, 포스코사거리(기업은행),1,6,0.2630137,0.28076018068931974,0.38760321745412163,0.518368097336388,0.017746482059182743
2348, 포스코사거리(기업은행),1,7,0.6630137,0.8007729597830118,0.6138992423579676,0.8364095493826523,0.13775926115287482
2348, 포스코사거리(기업은행),1,8,1.090411,1.4881834266468157,0.9013827519317541,1.1989234408526852,0.3977724677427062
2348, 포스코사거리(기업은행),1,9,0.74246573,1.1418407726772997,0.7753303715487598,0.9562423363302855,0.39937501925264207
