대여소번호,대여소명,자치구,주소,위도,경도,설치시기,LCD,QR,운영방식
2343.0, 세곡사거리 대왕파출소 앞,강남구,서울특별시 강남구 헌릉로 623,37.46531677,127.10772705,2017-06-13 09:22:18,10,0,LCD
2344.0, 리엔파크 2단지 앞,강남구,서울특별시 강남구 헌릉로590길 10,37.46506119,127.10119629,2017-06-13 09:23:37,10,0,LCD
2347.0, 두산건설 본사,강남구,서울특별시 강남구 언주로 726,37.518638609999996,127.03540039,2017-08-22 10:45:48,11,0,LCD
2348.0, 포스코사거리(기업은행),강남구,서울특별시 강남구 테헤란로 501,37.50723267,127.05685425,2017-06-13 10:49:59,20,23,QR
2349.0, 역삼빌딩 앞(하나은행 옆),강남구,서울특별시 강남구 테헤란로 지하 156,37.50154495,127.03856659,2017-08-21 19:12:01,12,0,LCD
2350.0, 래미안그레이튼102동앞,강남구,서울특별시 강남구 선릉로69길 19,37.49482346,127.04790497,2017-08-21 19:38:47,9,0,LCD
2351.0, 청소년수련관(수영장)앞,강남구,서울특별시 강남구 광평로 144,37.48387909,127.0890274,2017-08-01 12:04:03,11,0,LCD
2352.0, 서울본부세관(건설회관 앞),강남구,서울특별시 강남구 언주로 721,37.51758957,127.03502655,2017-08-22 10:49:59,6,0,LCD
2353.0, 강남구청역 2번출구 뒤,강남구,서울특별시 강남구 학동로 342,37.51681137,127.04047394,2017-08-22 10:51:58,10,0,LCD
2354.0, 청담역 2번출구,강남구,서울특별시 강남구 영동대로 647,37.51978683,127.0567627,2017-08-21 14:47:27,5,0,LCD
2355.0, 삼성역 5~6번 출구 사이,강남구,서울특별시 강남구 봉은사로 524,37.50912094,127.06230927,2017-08-21 14:51:44,20,0,LCD
2356.0, 강남구청,강남구,서울특별시 강남구 학동로 지하 346,37.51807022,127.04711914,2017-08-21 14:49:06,10,10,QR
2357.0, 르네상스호텔사거리 역삼지하보도 3번출구 앞 (더 오번 빌딩 명동칼국수 앞),강남구,서울특별시 강남구 언주로89길 7,37.50166321,127.04297638,2017-08-25 15:54:57,10,0,LCD
2358.0, 구룡초사거리 (현대아파트10동 앞 ),강남구,서울특별시 강남구 개포로 303,37.48138428,127.05391693,2017-08-21 14:57:31,7,0,LCD
2359.0," 국립국악중,고교 정문 맞은편",강남구,서울특별시 강남구 논현로10길 29,37.47560501,127.05037689,2017-08-21 15:00:13,10,0,LCD
2360.0, 도곡1동 주민센터 교차로,강남구,서울특별시 강남구 도곡로 205,37.4928093,127.04138947,2017-08-21 14:54:59,9,0,LCD
2362.0, 신사동 가로수길 입구,강남구,서울특별시 강남구 신사동 501-5,37.51763535,127.02245331,2017-11-01 16:00:00,10,0,LCD
2363.0, 강남 을지병원 교차로,강남구,서울특별시 강남구 도산대로 172 ,37.51913834,127.02751923,2017-11-01 16:00:00,15,0,LCD
2364.0, 도산공원교차로,강남구,서울특별시 강남구 도산대로 229 ,37.52124023,127.0318985,2017-11-01 16:00:00,10,0,LCD
2365.0, K+ 타워 앞,강남구,서울특별시 강남구 도산대로 333 ,37.52330017,127.03847504,2017-11-01 16:00:00,15,0,LCD
2368.0, 도곡동 경남아파트 건너편,강남구,서울특별시 강남구 도곡동 874-1,37.48934174,127.04129791,2017-11-01 16:00:00,7,7,QR
2369.0, KT선릉타워,강남구,서울특별시 강남구 대치동 1011,37.50542831,127.0528717,2017-11-01 16:00:00,20,0,LCD
2370.0, 한티역 3번출구,강남구,서울특별시 강남구 대치동 1026,37.49655151,127.0542984,2017-11-01 16:00:00,10,0,LCD
2371.0, 한국우편사업진흥원,강남구,서울특별시 강남구 언주로 651,37.51474762,127.03513336,2017-11-01 16:00:00,6,0,LCD
2372.0, 대치역 사거리,강남구,서울특별시 강남구 삼성로 156 ,37.49449921,127.063797,2017-11-01 16:00:00,10,0,LCD
2373.0, 개포동역 사거리,강남구,서울특별시 강남구 개포동 181-3,37.48927689,127.06557465,2017-11-01 16:00:00,20,0,LCD
2375.0, 수서역 1번출구 앞,강남구,서울특별시 강남구 수서동 728,37.48735046,127.10099792,2017-11-01 16:00:00,14,0,LCD
2376.0, 수서역 6번출구 앞,강남구,서울특별시 강남구 수서동 740,37.48677826,127.10051727,2017-11-01 16:00:00,14,0,LCD
2377.0, 수서역 5번출구,강남구,서울특별시 강남구 수서동 724-4,37.48735046,127.10232544,2017-11-01 16:00:00,9,0,LCD
2380.0, 삼성동베이직하우스앞,강남구,서울특별시 강남구 봉은사로 456,37.51169586,127.04934692,2017-11-28 09:37:16,12,0,LCD
2381.0, 언주역 6번출구앞,강남구,서울특별시 강남구 논현로 566,37.50636673,127.03452301,2017-11-28 09:38:15,8,0,LCD
2382.0, 역삼동 sk뷰 501동앞,강남구,서울특별시 강남구 역삼로 315-1,37.50122833,127.05036163,2017-11-28 09:38:15,6,0,LCD
2383.0, 보금자리정원,강남구,서울특별시 강남구 헌릉로569길 39-6,37.46632767,127.09488678,2017-11-28 09:40:19,10,0,LCD
2384.0, 자곡사거리,강남구,서울특별시 강남구 밤고개로 206,37.47602844,127.10594177,2017-12-22 14:46:03,15,0,LCD
2385.0, 학동역,강남구,서울특별시 강남구 학동로 지하 180,37.51395035,127.03015137,2017-12-22 14:46:36,10,0,LCD
2386.0, 크린랩 본사,강남구,논현동 279-166,37.50958633,127.04090881,2018-07-04 00:00:00,10,10,QR
2387.0, 래미안강남힐즈 사거리,강남구,서울특별시 강남구 자곡로 101,37.47245407,127.09607697,2018-02-26 11:47:31,10,0,LCD
2388.0, 강남구 도시관리공단,강남구,강남구 삼성동 111-61,37.51678467,127.05161285,2018-07-04 00:00:00,18,0,LCD
2389.0, 경기여자고등학교 후문 (삼성로3길 입구),강남구,강남구 개포동 198,37.48616028,127.06723785,2018-11-04 00:00:00,15,0,LCD
2390.0, 구룡마을 입구 (래미안블레스티지 아파트),강남구,강남구 개포동 146-1,37.48088074,127.06304169,2018-10-08 00:00:00,10,3,LCD
2391.0, 구룡터널 입구(개포1단지아파트),강남구,강남구 개포동 146-1,37.47598648,127.05962372,2018-10-08 00:00:00,7,0,LCD
2392.0, 구룡산 입구 (구룡산 서울둘레길 입구),강남구,강남구 개포동 1277,37.47447205,127.05545044,2018-10-08 00:00:00,10,0,LCD
2393.0, 구룡사 앞 교차로 (보도육교),강남구,강남구 개포동 1277,37.47200012,127.0513382,2018-10-08 00:00:00,7,0,LCD
2394.0, 개포래미안포레스트아파트 107동 앞,강남구,강남구 개포로 264,37.48025131,127.05419159,2018-11-04 00:00:00,10,10,QR
2396.0, 영동3교 북단(우성캐릭터 앞 보도),강남구,강남구 도곡동 466,37.48574066,127.05104828,2018-10-08 00:00:00,15,0,LCD
2398.0, 더라움,강남구,강남구 역삼동 801-7,37.50811005,127.0394516,2018-10-30 00:00:00,10,0,LCD
2401.0, 밀알학교 입구 (삼성서울병원 입구),강남구,강남구 일원동 128-10,37.48656082,127.08267212,2018-09-14 00:00:00,10,0,LCD
2403.0, 공무원연금매점 교차로 (개포주공9단지 입구),강남구,강남구 일원동 703-2,37.48871994,127.07453918,2018-10-08 00:00:00,10,0,LCD
2404.0, 대모산입구역 4번 출구 앞,강남구,강남구 일원동 700-1,37.49180984,127.07315826,2018-10-08 00:00:00,10,0,LCD
2405.0, 청담공원앞 교차로,강남구,강남구 삼성동 111-44,37.51871109,127.05084991,2018-10-08 00:00:00,14,0,LCD
2406.0, 논현동 광명빌딩 앞,강남구,강남구 논현동 279,37.5175705,127.02364349,2018-11-04 00:00:00,10,0,LCD
2407.0, 역삼서초삼성 세무서 앞 (역삼빌딩 앞,강남구,강남구 역삼동 804,37.49847031,127.03011322,2018-09-18 00:00:00,10,0,LCD
2408.0, 강남한양수자인아파트,강남구,강남구 자곡로 260,37.4773407,127.11327362,2018-10-02 00:00:00,14,0,LCD
2409.0, 역삼동 디오슈페리움 (우성아파트 사거리),강남구,강남구 역삼동 858(강남대로 342 앞 도로),37.49206161,127.03074646,2018-11-14 00:00:00,20,0,LCD
2410.0, 포스코피앤에스타워 (역삼역 3번출구 부근),강남구,강남구 역삼동 804(강남구 테헤란로 134 앞 보도),37.49959946,127.03375244,2018-11-14 00:00:00,10,10,QR
2411.0, 세곡동 성당,강남구,강남구 율현동 165-2(강남구 밤고개로21길 50),37.47296906,127.11222839,2019-02-25 00:00:00,15,0,LCD
2412.0, 일원1동 주민센터,강남구,강남구 일원동 712-5 ,37.49170303,127.08822632,2018-11-14 00:00:00,15,0,LCD
2413.0,도곡역 1번 출구,강남구,남부순환로 2814,37.49095917,127.05498505,2020-02-18 00:00:00,0,20,QR
2414.0, 도곡역 아카데미스위트 앞,강남구,언주로30길 21,37.48897171,127.05182648,2020-02-18 00:00:00,0,20,QR
2415.0,한티역 롯데백화점 앞,강남구,선릉로 228,37.49667358,127.05342865,2020-02-14 00:00:00,0,15,QR
2416.0,한티역 6번 출구,강남구,선릉로 227,37.4958992,127.05219269,2020-02-14 00:00:00,0,10,QR
2417.0,선정릉 디캠프(D.CAMP)앞,강남구,선릉로 551,37.50799942,127.04524994,2020-02-14 00:00:00,0,10,QR
2418.0,봉은사역 7번 출구,강남구,봉은사로 601,37.51393509,127.05982208,2020-02-14 00:00:00,0,10,QR
2419.0,"봉은사역 1,2번 출구",강남구,봉은사로 601,37.51430893,127.05970001,2020-02-14 00:00:00,0,13,QR
2420.0,학여울역 사거리(LG베스트샵 앞),강남구,영동대로 202,37.49689484,127.07013702,2020-02-18 00:00:00,0,20,QR
2421.0, 신논현역 4번출구,강남구,봉은사로 110,37.504673,127.02579498,2020-02-14 00:00:00,0,15,QR
2422.0,수서동 성당 맞은편,강남구,광평로34길 202,37.48416901,127.09484863,2020-02-18 00:00:00,0,10,QR
2423.0,영희초교 사거리(래미안개포루체하임),강남구,개포로110길 50,37.4908371,127.08065033,2020-02-18 00:00:00,0,10,QR
2425.0,세곡동 사거리(대왕초등학교 정류장),강남구,헌릉로618길 8,37.46461868,127.10684967,2020-02-18 00:00:00,0,20,QR
2426.0,강남한신휴플러스 6단지,강남구,강남구 율현동 333-1,37.46829605,127.10469818,2020-02-18 00:00:00,0,10,QR
