model_name,valid_rmse,valid_mae,valid_r2,test_rmse,test_mae,test_r2
ridge,0.002733587622327581,0.00239344820079495,0.9999999322222105,0.0026775056730902694,0.001700328634597818,0.9999999406746664
random_forest,0.011609331309087501,0.004830476190474826,0.9999987775367488,0.0629764712102755,0.030807812013693852,0.9999671801921537
baseline_lag1,4.851803788283282,2.82,0.786485260770975,5.366928504147177,3.235294117647059,0.7616412990913487
