k,inertia,silhouette
2,698.0037180330376,0.4388802879430029
3,556.6307404110655,0.2757755205551219
4,449.94338745270227,0.2927177778033694
5,385.46360917060855,0.2853090247010943
6,328.86658922714923,0.2815789487168294
