대여소번호,대여소명,자치구,주소,위도,경도
2368, 도곡동 경남아파트 건너편,강남구,서울특별시 강남구 도곡동 874-1,37.48934174,127.04129791
2369, KT선릉타워,강남구,서울특별시 강남구 대치동 1011,37.50542831,127.0528717
2370, 한티역 3번출구,강남구,서울특별시 강남구 대치동 1026,37.49655151,127.0542984
2371, 한국우편사업진흥원,강남구,서울특별시 강남구 언주로 651,37.51474762,127.03513336
2372, 대치역 사거리,강남구,서울특별시 강남구 삼성로 156 ,37.49449921,127.063797
2373, 개포동역 사거리,강남구,서울특별시 강남구 개포동 181-3,37.48927689,127.06557465
2375, 수서역 1번출구 앞,강남구,서울특별시 강남구 수서동 728,37.48735046,127.10099792
2376, 수서역 6번출구 앞,강남구,서울특별시 강남구 수서동 740,37.48677826,127.10051727
2377, 수서역 5번출구,강남구,서울특별시 강남구 수서동 724-4,37.48735046,127.10232544
2380, 삼성동베이직하우스앞,강남구,서울특별시 강남구 봉은사로 456,37.51169586,127.04934692
2381, 언주역 6번출구앞,강남구,서울특별시 강남구 논현로 566,37.50636673,127.03452301
2382, 역삼동 sk뷰 501동앞,강남구,서울특별시 강남구 역삼로 315-1,37.50122833,127.05036163
2383, 보금자리정원,강남구,서울특별시 강남구 헌릉로569길 39-6,37.46632767,127.09488678
2384, 자곡사거리,강남구,서울특별시 강남구 밤고개로 206,37.47602844,127.10594177
2385, 학동역,강남구,서울특별시 강남구 학동로 지하 180,37.51395035,127.03015137
2386, 크린랩 본사,강남구,논현동 279-166,37.50958633,127.04090881
2387, 래미안강남힐즈 사거리,강남구,서울특별시 강남구 자곡로 101,37.47245407,127.09607697
2388, 강남구 도시관리공단,강남구,강남구 삼성동 111-61,37.51678467,127.05161285
2389, 경기여자고등학교 후문 (삼성로3길 입구),강남구,강남구 개포동 198,37.48616028,127.06723785
2390, 구룡마을 입구 (래미안블레스티지 아파트),강남구,강남구 개포동 146-1,37.48088074,127.06304169
2391, 구룡터널 입구(개포1단지아파트),강남구,강남구 개포동 146-1,37.47598648,127.05962372
2392, 구룡산 입구 (구룡산 서울둘레길 입구),강남구,강남구 개포동 1277,37.47447205,127.05545044
2394, 개포래미안포레스트아파트 107동 앞,강남구,강남구 개포로 264,37.48025131,127.05419159
2396, 영동3교 북단(우성캐릭터 앞 보도),강남구,강남구 도곡동 466,37.48574066,127.05104828
2398, 더라움,강남구,강남구 역삼동 801-7,37.50811005,127.0394516
2401, 밀알학교 입구 (삼성서울병원 입구),강남구,강남구 일원동 128-10,37.48656082,127.08267212
2403, 공무원연금매점 교차로 (개포주공9단지 입구),강남구,강남구 일원동 703-2,37.48871994,127.07453918
2404, 대모산입구역 4번 출구 앞,강남구,강남구 일원동 700-1,37.49180984,127.07315826
2405, 청담공원앞 교차로,강남구,강남구 삼성동 111-44,37.51871109,127.05084991
2406, 논현동 광명빌딩 앞,강남구,강남구 논현동 279,37.5175705,127.02364349
2407, 역삼서초삼성 세무서 앞 (역삼빌딩 앞,강남구,강남구 역삼동 804,37.49847031,127.03011322
2408, 강남한양수자인아파트,강남구,강남구 자곡로 260,37.4773407,127.11327362
2409, 역삼동 디오슈페리움 (우성아파트 사거리),강남구,강남구 역삼동 858(강남대로 342 앞 도로),37.49206161,127.03074646
2410, 포스코피앤에스타워 (역삼역 3번출구 부근),강남구,강남구 역삼동 804(강남구 테헤란로 134 앞 보도),37.49959946,127.03375244
2411, 세곡동 성당,강남구,강남구 율현동 165-2(강남구 밤고개로21길 50),37.47296906,127.11222839
2413,도곡역 1번 출구,강남구,남부순환로 2814,37.49095917,127.05498505
2414, 도곡역 아카데미스위트 앞,강남구,언주로30길 21,37.48897171,127.05182648
2415,한티역 롯데백화점 앞,강남구,선릉로 228,37.49667358,127.05342865
2416,한티역 6번 출구,강남구,선릉로 227,37.4958992,127.05219269
2417,선정릉 디캠프(D.CAMP)앞,강남구,선릉로 551,37.50799942,127.04524994
2418,봉은사역 7번 출구,강남구,봉은사로 601,37.51393509,127.05982208
2419,"봉은사역 1,2번 출구",강남구,봉은사로 601,37.51430893,127.05970001
2420,학여울역 사거리(LG베스트샵 앞),강남구,영동대로 202,37.49689484,127.07013702
2421, 신논현역 4번출구,강남구,봉은사로 110,37.504673,127.02579498
2422,수서동 성당 맞은편,강남구,광평로34길 202,37.48416901,127.09484863
2423,영희초교 사거리(래미안개포루체하임),강남구,개포로110길 50,37.4908371,127.08065033
