cluster,avg_rental,rental_std,weekday_avg,weekend_avg,peak_ratio,night_ratio,weekday_weekend_gap
0,11.913,6.856,12.865,9.479,0.373,0.133,3.385
1,31.176,16.039,33.3,25.86,0.382,0.134,7.44
