station_id,avg_rental,rental_std,weekday_avg,weekend_avg,peak_ratio,night_ratio,weekday_weekend_gap,cluster,pca_1,pca_2,대여소명,자치구,주소,station_lat,station_lon,park_distance_m,nearest_park_name,subway_distance_m,nearest_subway_name,bus_stop_count_300m,bus_stop_count_500m,cluster_name
2308,21.877914951989027,9.994925527783773,22.69289827255278,19.83653846153846,0.3200827638096432,0.1219512195121951,2.856359811014322,0,0.9255990271695076,0.8071893477122416, 압구정파출소 앞,강남구,서울특별시 강남구 압구정로 311,37.52930069,127.03559875,516.7741125358261,도산근린공원,484.7372548025296,압구정로데오,20,56,일반수요형
4914,21.546703296703296,11.140370598291574,24.130518234165063,15.043478260869565,0.3090654086446512,0.0790513833992094,9.087039973295502,0,1.2442371315459686,-0.3352240830291884, 도심공항타워 앞,강남구,삼성동 159-9,37.50999069,127.05847168,508.0293646209108,봉은공원,432.74754377797643,삼성(무역센터),28,132,일반수요형
2324,20.70958904109589,9.37896201614503,20.908045977011493,20.21153846153846,0.3414472813864267,0.1310358513030824,0.6965075154730336,0,0.634741240327782,0.8668838974869046, 천주교 대치 2동 교회 옆,강남구,서울특별시 강남구 도곡로 540,37.50043869,127.06622314,1771.0693151197013,봉은공원,570.0386388309337,학여울,32,48,일반수요형
4923,20.486676016830295,9.486546018873373,21.212180746561884,18.676470588235293,0.3734510850961867,0.1198055726706373,2.535710158326591,0,0.7405613228882,0.1801522126541176,수협대치동지점,강남구,서울특별시 강남구 영동대로 214-2,37.49861526,127.0683136,2041.5402193499538,봉은공원,295.96648754230614,학여울,12,64,일반수요형
4902,20.112328767123287,11.05174194669659,23.442528735632184,11.754807692307692,0.3565590519002861,0.1168096989510965,11.687721043324492,0,1.112514907245321,-0.523987211597263, 구역삼세무서 교차로,강남구,강남구 논현로 337,37.49524307,127.03937531,741.472593199778,도곡근린공원,651.2003108238803,역삼,20,60,일반수요형
2349,19.64206128133705,12.490610685586567,22.69439071566731,11.791044776119405,0.4016166773027015,0.1396156846061121,10.903345939547908,0,1.19820516803203,-0.5614278941224871, 역삼빌딩 앞(하나은행 옆),강남구,서울특별시 강남구 테헤란로 지하 156,37.50154495,127.03856659,1373.1166146741946,도곡근린공원,212.59809288426536,역삼,20,60,일반수요형
2302,19.291549295774647,9.695115989094468,20.570866141732285,16.074257425742573,0.3389063298532525,0.2218003942469154,4.496608715989712,0,0.4155622032389736,1.9412392208533025, 교보타워 버스정류장(신논현역 3번출구 후면),강남구,서울특별시 강남구 봉은사로 지하 102,37.5055809,127.02427673,2325.377527410613,도산근린공원,129.30158007069147,신논현,40,124,일반수요형
2410,18.915862068965517,10.224406640053482,22.115606936416185,10.854368932038836,0.3492781099606242,0.1094501968791016,11.26123800437735,0,0.8294681714812984,-0.5929215919306478, 포스코피앤에스타워 (역삼역 3번출구 부근),강남구,강남구 역삼동 804(강남구 테헤란로 134 앞 보도),37.49959946,127.03375244,1434.1951882616172,도곡근린공원,264.2155616894363,역삼,16,64,일반수요형
3604,18.761316872427983,11.850862926792235,22.28544061302682,9.8743961352657,0.4914089347079037,0.0862762301674343,12.411044477761122,0,1.2824274765553398,-2.52772920649671, 삼성중앙역 5번출구,강남구,삼성동145-1,37.51296234,127.05386353,177.948048783219,봉은공원,51.57642929301604,삼성중앙,16,48,일반수요형
2333,18.69103448275862,11.338390740812857,21.739884393063583,11.009708737864075,0.483285366393624,0.0666371485499225,10.730175655199506,0,1.1850331053404513,-2.614866257368216, 양재역 3번출구 주변,강남구,서울특별시 강남구 강남대로 240,37.48515701,127.03407288,1124.2480840967785,도곡근린공원,77.10226190996563,양재(서초구청),52,120,일반수요형
2335,44.42270861833105,21.14076705224874,49.68390804597701,31.282296650717704,0.4889292643118899,0.1046715733070551,18.40161139525931,1,6.319910289471729,-1.455456393293315, 3호선 매봉역 3번출구앞,강남구,서울특별시 강남구 남부순환로 2748,37.48676682,127.04676056,422.69507040851244,도곡근린공원,20.048936576497546,매봉,44,68,고수요형
2377,43.67305061559507,20.700964807676655,47.38122605363985,34.411483253588514,0.3886922474549726,0.1006108065779169,12.969742800051336,1,5.833789040535667,-0.0318468321983978, 수서역 5번출구,강남구,서울특별시 강남구 수서동 724-4,37.48735046,127.10232544,898.1152949347037,광평근린공원,37.046495328444145,수서,64,80,고수요형
2404,42.80958904109589,19.83935942193151,44.230326295585414,39.26794258373206,0.4144507375763975,0.1362516399475216,4.962383711853356,1,5.342901564916396,0.9498569627410264, 대모산입구역 4번 출구 앞,강남구,강남구 일원동 700-1,37.49180984,127.07315826,1517.5227218196758,대모산도시자연공원,62.08504272340149,대모산입구,24,60,고수요형
2348,41.38219178082192,26.19962325232927,51.54214559386973,15.884615384615383,0.3500612400278063,0.0765996888344533,35.65753020925435,1,6.752441542562127,-2.1232604984256147, 포스코사거리(기업은행),강남구,서울특별시 강남구 테헤란로 501,37.50723267,127.05685425,751.2748302256771,봉은공원,584.3595573163827,삼성(무역센터),48,88,고수요형
2306,41.03556771545828,18.241345301543262,44.26819923371647,32.961722488038276,0.4008067473414008,0.106010601060106,11.306476745678196,1,5.131274932850243,-0.068725244940638, 압구정역 2번 출구 옆,강남구,서울특별시 강남구 압구정로 지하 172,37.5271225,127.02871704,619.6346411922685,도산근린공원,23.266637636051197,압구정,24,48,고수요형
2340,40.59178082191781,20.133925763397393,43.54022988505747,33.19230769230769,0.3618385529157667,0.1272948164146868,10.347922192749778,1,5.13441219797348,0.7613228360632031, 삼호물산버스정류장(23370) 옆,강남구,서울특별시 강남구 논현로 82,37.47750854,127.04517365,1423.8111057487968,도곡근린공원,1023.7301686184046,양재시민의숲(매헌),40,100,고수요형
2431,39.39124487004104,17.830023316358123,39.79693486590038,38.377990430622006,0.3583608265323841,0.1795797881576662,1.4189444352783769,1,4.33653193775378,2.364848366474614,대치역 7번출구,강남구,남부순환로155,37.49411774,127.06290436,1632.432880717243,도곡근린공원,85.17955215059632,대치,32,64,고수요형
2384,38.66027397260274,20.283780540403605,41.63409961685824,31.197115384615383,0.4866770604492949,0.1162922542697186,10.436984232242851,1,5.080014541163376,-0.8017655195783032, 자곡사거리,강남구,서울특별시 강남구 밤고개로 206,37.47602844,127.10594177,945.7682363044029,율현공원,1211.79104569624,수서,32,60,고수요형
2342,38.61422708618331,18.214746849522697,41.81417624521073,30.62200956937799,0.3942678995288199,0.1329578063556169,11.19216667583274,1,4.701381338992434,0.3282875246219436, 대청역 1번출구 뒤,강남구,서울특별시 강남구 개포로 623,37.49400711,127.07951355,1299.7093604428192,광평근린공원,54.855485672527735,대청,20,56,고수요형
2332,37.71545827633379,18.598748496763417,43.13793103448276,24.172248803827753,0.3599564744287268,0.1150163220892274,18.96568223065501,1,4.823439059631519,-0.3470857748938516, 선릉역3번출구,강남구,서울특별시 강남구 선릉로 435,37.50400925,127.0490799,1237.1326450731056,봉은공원,83.24954956357365,선릉,36,72,고수요형
