target,feature,alpha,coefficient,importance_abs,importance_ratio
rental_count,base_value,0.001,0.03217643800644463,0.03217643800644463,0.024560247427148442
rental_count,month_weight,0.001,0.15412318087163787,0.15412318087163787,0.11764209126281841
rental_count,year_weight,0.001,1.540205144423864e-24,1.540205144423864e-24,1.175637260657642e-24
rental_count,hour_weight,0.001,0.24878631066466153,0.24878631066466153,0.1898983767310627
rental_count,pattern_prior,0.001,-0.01950282279337303,0.01950282279337303,0.01488648784670118
rental_count,corrected_pattern_prior,0.001,0.8000468750990183,0.8000468750990183,0.61067509094118
rental_count,day_type_weekday,0.001,0.027733363988505018,0.027733363988505018,0.021168852854639354
rental_count,day_type_offday,0.001,-0.027733364095685335,0.027733364095685335,0.021168852936449996
return_count,base_value,0.001,0.26671385119633995,0.26671385119633995,0.05306703116407566
return_count,month_weight,0.001,0.5473545503222522,0.5473545503222522,0.10890503380106485
return_count,year_weight,0.001,0.0,0.0,0.0
return_count,hour_weight,0.001,-1.5855061672362327,1.5855061672362327,0.3154620759670315
return_count,pattern_prior,0.001,-0.9613642698461708,0.9613642698461708,0.19127895847598816
return_count,corrected_pattern_prior,0.001,1.5658249941027234,1.5658249941027234,0.31154618849685783
return_count,day_type_weekday,0.001,0.049608214925689946,0.049608214925689946,0.00987035609754593
return_count,day_type_offday,0.001,-0.049608214422539675,0.049608214422539675,0.009870355997436053
