target,day_type,intercept,sin_hour_coef,cos_hour_coef,formula
rental_count,weekday,2.136808367071526,-0.8570727815072772,-0.745671288030527,2.136808 + (-0.857073 * sin(2pi*hour/24)) + (-0.745671 * cos(2pi*hour/24))
rental_count,offday,1.296257062146893,-1.0235157578191854,-0.5083684048573173,1.296257 + (-1.023516 * sin(2pi*hour/24)) + (-0.508368 * cos(2pi*hour/24))
return_count,weekday,2.348515519568152,-0.23086760176056717,-1.1940914716595648,2.348516 + (-0.230868 * sin(2pi*hour/24)) + (-1.194091 * cos(2pi*hour/24))
return_count,offday,1.4247881355932208,-0.7355651126402472,-0.8406536095184872,1.424788 + (-0.735565 * sin(2pi*hour/24)) + (-0.840654 * cos(2pi*hour/24))
