target,alpha,rmse,mae,r2
rental_count,0.001,1.5541942417711756,1.161694717987313,0.25155151906259077
rental_count,0.01,1.554192349705833,1.1616927808635333,0.25155334137351104
rental_count,0.1,1.5541734546295731,1.1616734277257577,0.25157153972679525
rental_count,1.0,1.5539870298227616,1.1614816897665987,0.2517510785840277
rental_count,10.0,1.5523469883724441,1.1597366399243931,0.25332961388091424
rental_count,100.0,1.5455952780220763,1.1515666491492096,0.2598105604759048
rental_count,1000.0,1.5404407888886,1.148368577596354,0.26473932359334074
return_count,0.001,1.5545641090811786,1.1364465173974643,0.37315463555104056
return_count,0.01,1.5545640765264008,1.1364462851237587,0.3731546618051027
return_count,0.1,1.5545637515697526,1.1364439632910404,0.3731549238689724
return_count,1.0,1.5545605604803119,1.1364208350973781,0.3731574973454841
return_count,10.0,1.5545339092381696,1.1361985390485039,0.37317899022076184
return_count,100.0,1.5544789899804952,1.1347966074185263,0.3732232786550823
return_count,1000.0,1.553122329800563,1.1344100347349524,0.3743168308593058
