target,granularity,year,key,series,value
rental_count,hour,2024,17,actual_value,2.7158469945355193
rental_count,hour,2024,17,prediction,3.0351255746363455
rental_count,hour,2024,18,actual_value,2.989071038251366
rental_count,hour,2024,18,prediction,3.132815655905464
rental_count,hour,2024,19,actual_value,2.3114754098360657
rental_count,hour,2024,19,prediction,2.6071233452909435
rental_count,hour,2024,20,actual_value,2.051912568306011
rental_count,hour,2024,20,prediction,2.314136554188241
rental_count,hour,2024,21,actual_value,3.2049180327868854
rental_count,hour,2024,21,prediction,3.115717076706432
rental_count,hour,2024,22,actual_value,2.92896174863388
rental_count,hour,2024,22,prediction,2.791692053221839
rental_count,hour,2024,23,actual_value,1.0765027322404372
rental_count,hour,2024,23,prediction,1.1219103958093903
rental_count,month,2024,1,actual_value,0.8467741935483871
rental_count,month,2024,1,prediction,0.9023473155688992
rental_count,month,2024,2,actual_value,0.9425287356321839
rental_count,month,2024,2,prediction,1.0249668440877038
rental_count,month,2024,3,actual_value,1.2271505376344085
rental_count,month,2024,3,prediction,1.4146830810633293
rental_count,month,2024,4,actual_value,1.8569444444444445
rental_count,month,2024,4,prediction,1.869048538691879
rental_count,month,2024,5,actual_value,1.9099462365591398
rental_count,month,2024,5,prediction,1.9200044295428247
rental_count,month,2024,6,actual_value,2.1694444444444443
rental_count,month,2024,6,prediction,2.115119972354601
rental_count,month,2024,7,actual_value,1.5013440860215055
rental_count,month,2024,7,prediction,1.7206296614462937
rental_count,month,2024,8,actual_value,1.6693548387096775
rental_count,month,2024,8,prediction,1.7428349210723688
rental_count,month,2024,9,actual_value,1.6680555555555556
rental_count,month,2024,9,prediction,1.9144743878531876
rental_count,month,2024,10,actual_value,1.721774193548387
rental_count,month,2024,10,prediction,1.9557033129224652
rental_count,month,2024,11,actual_value,1.3444444444444446
rental_count,month,2024,11,prediction,1.5932141892209644
rental_count,month,2024,12,actual_value,0.7997311827956989
rental_count,month,2024,12,prediction,0.9086734404628679
rental_count,hour,2025,0,actual_value,0.6191780821917808
rental_count,hour,2025,0,prediction,0.7059835371022909
rental_count,hour,2025,1,actual_value,0.8054794520547945
rental_count,hour,2025,1,prediction,0.6524955196271977
rental_count,hour,2025,2,actual_value,0.3095890410958904
rental_count,hour,2025,2,prediction,0.3859378805208115
rental_count,hour,2025,3,actual_value,0.1589041095890411
rental_count,hour,2025,3,prediction,0.3021576828184799
rental_count,hour,2025,4,actual_value,0.27123287671232876
rental_count,hour,2025,4,prediction,0.3123945020286881
rental_count,hour,2025,5,actual_value,0.052054794520547946
rental_count,hour,2025,5,prediction,0.04569460067757432
rental_count,hour,2025,6,actual_value,0.19726027397260273
rental_count,hour,2025,6,prediction,0.11186899563441796
rental_count,hour,2025,7,actual_value,0.7397260273972602
rental_count,hour,2025,7,prediction,0.7474700624440884
rental_count,hour,2025,8,actual_value,0.7917808219178082
rental_count,hour,2025,8,prediction,1.2615508582107002
rental_count,hour,2025,9,actual_value,1.0356164383561643
rental_count,hour,2025,9,prediction,0.992714348008141
rental_count,hour,2025,10,actual_value,0.9561643835616438
rental_count,hour,2025,10,prediction,0.9297967566428775
rental_count,hour,2025,11,actual_value,1.1424657534246576
rental_count,hour,2025,11,prediction,1.1667037197912917
rental_count,hour,2025,12,actual_value,1.358904109589041
rental_count,hour,2025,12,prediction,1.5987784145033015
rental_count,hour,2025,13,actual_value,1.2986301369863014
rental_count,hour,2025,13,prediction,1.589475027725489
rental_count,hour,2025,14,actual_value,1.4767123287671233
rental_count,hour,2025,14,prediction,1.5908080579745225
rental_count,hour,2025,15,actual_value,1.5534246575342465
rental_count,hour,2025,15,prediction,1.7059854528241474
rental_count,hour,2025,16,actual_value,1.5808219178082192
rental_count,hour,2025,16,prediction,1.8029274015108396
rental_count,hour,2025,17,actual_value,2.4027397260273973
rental_count,hour,2025,17,prediction,2.426827869483969
rental_count,hour,2025,18,actual_value,2.4794520547945207
rental_count,hour,2025,18,prediction,2.5067621004640745
rental_count,hour,2025,19,actual_value,1.9506849315068493
rental_count,hour,2025,19,prediction,2.0800155699865717
rental_count,hour,2025,20,actual_value,1.8136986301369864
rental_count,hour,2025,20,prediction,1.8432794368727157
rental_count,hour,2025,21,actual_value,2.3753424657534246
rental_count,hour,2025,21,prediction,2.503589564345904
rental_count,hour,2025,22,actual_value,2.1835616438356165
rental_count,hour,2025,22,prediction,2.2462226020218004
rental_count,hour,2025,23,actual_value,0.7534246575342466
rental_count,hour,2025,23,prediction,0.8765181189800112
rental_count,month,2025,1,actual_value,0.7325268817204301
rental_count,month,2025,1,prediction,0.7235056210515588
rental_count,month,2025,2,actual_value,0.7604166666666666
rental_count,month,2025,2,prediction,0.812886585892621
rental_count,month,2025,3,actual_value,1.1129032258064515
rental_count,month,2025,3,prediction,1.12455834884802
rental_count,month,2025,4,actual_value,1.4055555555555554
rental_count,month,2025,4,prediction,1.4840417121784228
rental_count,month,2025,5,actual_value,1.3091397849462365
rental_count,month,2025,5,prediction,1.529685955939957
rental_count,month,2025,6,actual_value,1.5819444444444444
rental_count,month,2025,6,prediction,1.6827292816464878
rental_count,month,2025,7,actual_value,1.4005376344086022
rental_count,month,2025,7,prediction,1.3682358731172677
