target,feature,alpha,coefficient
rental_count,intercept,0.001,0.14128082747858084
rental_count,base_value,0.001,-0.1376509976741934
rental_count,month_weight,0.001,-0.20077416122937958
rental_count,year_weight,0.001,-8.072222403146851e-24
rental_count,hour_weight,0.001,0.03041485727330018
rental_count,pattern_prior,0.001,0.17286998503783907
rental_count,corrected_pattern_prior,0.001,0.9109224506608893
rental_count,day_type_weekday,0.001,0.0010602139739143335
rental_count,day_type_offday,0.001,-0.00106021385668536
return_count,intercept,10.0,0.2654945046921533
return_count,base_value,10.0,0.16091134860210818
return_count,month_weight,10.0,0.0860039148350466
return_count,year_weight,10.0,3.551667451415958e-28
return_count,hour_weight,10.0,-0.32720664410026185
return_count,pattern_prior,10.0,-0.24025283485214047
return_count,corrected_pattern_prior,10.0,0.9724031416070391
return_count,day_type_weekday,10.0,0.006924097368995357
return_count,day_type_offday,10.0,-0.006924097369001715
