target,alpha,split,rmse,mae,r2
rental_count,1000.0,train,1.5655404391386696,1.106598577955551,0.33091356109168135
rental_count,1000.0,valid,1.4787402889482701,1.0842467673025498,0.31889189309140165
rental_count,1000.0,test,1.2710484042286476,0.9280006658264647,0.27356469097476466
return_count,1000.0,train,1.5515162558597846,1.1103475277497616,0.3502622688002468
return_count,1000.0,valid,1.4737501247594988,1.0785974178774271,0.3227248289614234
return_count,1000.0,test,1.2698516062181597,0.9233621926054046,0.2915243653240416
bike_change_from_predictions,,test,1.4843900068717508,1.0267683746588365,0.06949257110621843
bike_change_from_predictions,,train,1.7156380196916043,1.1948923279078605,0.09484654656099967
bike_change_from_predictions,,valid,1.684595662969633,1.1892023075686022,0.09264465246044662
