target,split,rmse,mae,r2,station_id
rental_count,train,1.8648419595495997,1.306090291344514,0.4149957376480533,2377
rental_count,valid,1.8681506497146774,1.2470450297325786,0.45171039934062107,2377
rental_count,test,1.8552350349168745,1.2471434563378143,0.4154550552970371,2377
return_count,train,2.2265259421853365,1.534329717759997,0.5561659808970147,2377
return_count,valid,2.0870989057265694,1.4491422010033936,0.5775437306498878,2377
return_count,test,2.013346701739382,1.405175484474302,0.4957434563017994,2377
rental_count,train,1.7525983536809326,1.1926131107044469,0.486997854271233,2335
rental_count,valid,1.8078502144915578,1.2319135164063288,0.5365417489324993,2335
rental_count,test,1.7195770294892077,1.162920711443049,0.5367210223011156,2335
return_count,train,1.7980701094702602,1.2518097722302468,0.5024774325699082,2335
return_count,valid,1.8421194013159656,1.2837691217158753,0.5397059285569586,2335
return_count,test,1.892655245999823,1.2818759438979297,0.5552045683191813,2335
rental_count,train,1.7392085669687563,1.2533481268987456,0.34400690522398436,2404
rental_count,valid,1.7770206194222942,1.2709650848233536,0.3724055929201967,2404
rental_count,test,1.5816254721136411,1.1359697463382923,0.3231270715550737,2404
return_count,train,1.7655732263666586,1.2806001864950676,0.3478176172188956,2404
return_count,valid,1.7296806294976734,1.2399270900473296,0.4062274382500698,2404
return_count,test,1.5613237555817499,1.1261896626662733,0.3580953598948675,2404
rental_count,train,1.7748900993071943,1.2403400378433456,0.3884218540864075,2306
rental_count,valid,1.6549175723321132,1.160839897536227,0.3770307698726607,2306
rental_count,test,1.4562751460128545,1.0124896388517435,0.339790621581712,2306
return_count,train,1.8052941724748772,1.2030291070528136,0.5252498238786836,2306
return_count,valid,1.7203008723322997,1.1494781942407664,0.5577056246668506,2306
return_count,test,1.4913049224558523,0.9917466247931193,0.523466870747455,2306
rental_count,train,1.5816302853072297,1.13787873977559,0.3825467274215846,2332
rental_count,valid,1.503711857867262,1.1006749652381367,0.3987324120464095,2332
rental_count,test,1.3787545252692903,0.9866800007934511,0.3763672478258294,2332
return_count,train,1.7348329244872789,1.2164633785820407,0.4408272674393944,2332
return_count,valid,1.6330512676463598,1.1734868205615518,0.46799199811440695,2332
return_count,test,1.4866106465156796,1.0716034007983655,0.43278959293921426,2332
