target,feature,alpha,coefficient,importance_abs,importance_ratio
rental_count,base_value,1000.0,0.028827939587017178,0.028827939587017178,0.022150817183429535
rental_count,month_weight,1000.0,0.09688717225953027,0.09688717225953027,0.07444618210268562
rental_count,year_weight,1000.0,2.027563761133695e-29,2.027563761133695e-29,1.5579397918832092e-29
rental_count,hour_weight,1000.0,0.1554920484314233,0.1554920484314233,0.11947700694615641
rental_count,pattern_prior,1000.0,0.3108095999793345,0.3108095999793345,0.23881993394691514
rental_count,corrected_pattern_prior,1000.0,0.7026984032442246,0.7026984032442246,0.5399395200744976
rental_count,day_type_weekday,1000.0,-0.0033619684196601204,0.0033619684196601204,0.0025832698731578087
rental_count,day_type_offday,1000.0,0.003361968419660104,0.003361968419660104,0.002583269873157796
return_count,base_value,1000.0,0.032863198629702925,0.032863198629702925,0.02737725713594657
return_count,month_weight,1000.0,0.12072256035172255,0.12072256035172255,0.10057002101650911
return_count,year_weight,1000.0,-1.4386321152233311e-29,1.4386321152233311e-29,1.1984774150043193e-29
return_count,hour_weight,1000.0,0.05813413059116919,0.05813413059116919,0.04842964495034376
return_count,pattern_prior,1000.0,0.3651155701291295,0.3651155701291295,0.304165853129351
return_count,corrected_pattern_prior,1000.0,0.5979061201085019,0.5979061201085019,0.4980960550374332
return_count,day_type_weekday,1000.0,0.012820793687701908,0.012820793687701908,0.010680584365208174
return_count,day_type_offday,1000.0,-0.012820793687701913,0.012820793687701913,0.01068058436520818
