target,alpha,rmse,mae,r2
rental_count,0.001,1.4806135837805487,1.0815717773157867,0.31716511999499
rental_count,0.01,1.4806133296342137,1.081571336971965,0.31716535441127425
rental_count,0.1,1.4806107912680606,1.0815669385608786,0.31716769571515413
rental_count,1.0,1.4805857133235902,1.0815234516795074,0.3171908265550626
rental_count,10.0,1.4803615560406218,1.0811416304289172,0.31739756239144845
rental_count,100.0,1.4792633209677393,1.0800205869984347,0.31840999055209995
rental_count,1000.0,1.4787402889482701,1.0842467673025498,0.31889189309140165
return_count,0.001,1.4783023205192551,1.0759531985051878,0.3185343617815368
return_count,0.01,1.478302186845434,1.0759530916682227,0.3185344850230558
return_count,0.1,1.4783008505342037,1.0759520239518094,0.31853571704397443
return_count,1.0,1.4782875299123988,1.0759414118015005,0.3185479980178857
return_count,10.0,1.4781583777852398,1.0758414970950085,0.3186670643419216
return_count,100.0,1.4771479854767995,1.0752783229956075,0.3195981936256824
return_count,1000.0,1.4737501247594988,1.0785974178774271,0.3227248289614234
