target,alpha,rmse,mae,r2
rental_count,0.001,1.542720500909748,1.1220431586203037,0.34409133087135024
rental_count,0.01,1.5427202288188782,1.1220428750254374,0.34409156223762094
rental_count,0.1,1.542717509066661,1.1220400394314896,0.344093874914699
rental_count,1.0,1.5426904267767354,1.1220117193657213,0.3441169034780246
rental_count,10.0,1.5424307300590292,1.1217413458768581,0.34433770779192174
rental_count,100.0,1.540655403699367,1.1197143401025564,0.34584616407673774
rental_count,1000.0,1.5384272440111812,1.120776759708669,0.34773692460932204
return_count,0.001,1.6052604313466394,1.176629443074579,0.36636609619777316
return_count,0.01,1.6052604161168469,1.1766295010426773,0.366366108220885
return_count,0.1,1.6052602639779237,1.1766300807158157,0.3663662283264736
return_count,1.0,1.6052587584317815,1.1766358766587748,0.3663674168744673
return_count,10.0,1.6052452325244155,1.1766937535559014,0.36637809480345673
return_count,100.0,1.6052157826473128,1.1773065361415616,0.3664013434830855
return_count,1000.0,1.608244961083447,1.1840143568614434,0.3640077782894404
