target,feature,alpha,coefficient
rental_count,intercept,0.001,0.2104953079904306
rental_count,base_value,0.001,0.05259332585438417
rental_count,month_weight,0.001,0.09869145409974324
rental_count,year_weight,0.001,-4.81744415678166e-24
rental_count,hour_weight,0.001,-0.3840206858137621
rental_count,pattern_prior,0.001,-0.40263886990310277
rental_count,corrected_pattern_prior,0.001,1.3568035968270007
rental_count,day_type_weekday,0.001,0.0011933058030360758
rental_count,day_type_offday,0.001,-0.0011933059781637943
return_count,intercept,10.0,0.23142790871034835
return_count,base_value,10.0,0.2813912435654712
return_count,month_weight,10.0,0.37745091529388825
return_count,year_weight,10.0,1.2542060771137503e-27
return_count,hour_weight,10.0,-0.7426476773041214
return_count,pattern_prior,10.0,-0.7381849997292564
return_count,corrected_pattern_prior,10.0,1.4554836779710085
return_count,day_type_weekday,10.0,0.007181621765876309
return_count,day_type_offday,10.0,-0.007181621765924406
