target,feature,alpha,coefficient
rental_count,intercept,0.001,0.10585432755302882
rental_count,base_value,0.001,0.05984054406266972
rental_count,month_weight,0.001,0.15413162822955248
rental_count,year_weight,0.001,0.0
rental_count,hour_weight,0.001,-0.19388566763574025
rental_count,pattern_prior,0.001,-0.3802812508060418
rental_count,corrected_pattern_prior,0.001,1.1187407067111046
rental_count,day_type_weekday,0.001,0.022334856091264444
rental_count,day_type_offday,0.001,-0.022334856004690803
return_count,intercept,10.0,0.024880840957837602
return_count,base_value,10.0,0.11210266133948199
return_count,month_weight,10.0,0.07898042179289678
return_count,year_weight,10.0,0.0
return_count,hour_weight,10.0,-0.20381668872143835
return_count,pattern_prior,10.0,-0.33224888259998164
return_count,corrected_pattern_prior,10.0,1.1710740209846697
return_count,day_type_weekday,10.0,-0.0037005353986506273
return_count,day_type_offday,10.0,0.00370053539865776
