station_id,target,alpha,split,rmse,mae,r2
2377,rental_count,0.001,train,1.8648419595496,1.306090291344514,0.4149957376480533
2377,rental_count,0.001,valid,1.8681506497146771,1.2470450297325786,0.451710399340621
2377,rental_count,0.001,test,1.8552350349168745,1.2471434563378143,0.4154550552970371
2377,return_count,0.001,train,2.2265259421853365,1.534329717759997,0.5561659808970147
2377,return_count,0.001,valid,2.0870989057265694,1.4491422010033936,0.5775437306498878
2377,return_count,0.001,test,2.013346701739382,1.405175484474302,0.4957434563017994
2377,bike_change_from_predictions,,test,2.2626888328229224,1.5442133092318582,0.4027465238703993
2377,bike_change_from_predictions,,train,2.152711222456961,1.504129746846934,0.4698591043126647
2377,bike_change_from_predictions,,valid,2.196864642426303,1.477527849464093,0.5069089042481887
2335,rental_count,0.001,train,1.7525983536809326,1.1926131107044469,0.486997854271233
2335,rental_count,0.001,valid,1.8078502144915576,1.2319135164063288,0.5365417489324993
2335,rental_count,0.001,test,1.7195770294892077,1.162920711443049,0.5367210223011156
2335,return_count,10.0,train,1.7980701094702602,1.2518097722302468,0.5024774325699082
2335,return_count,10.0,valid,1.8421194013159656,1.283769121715875,0.5397059285569586
2335,return_count,10.0,test,1.892655245999823,1.2818759438979297,0.5552045683191813
2335,bike_change_from_predictions,,test,2.0551261870537623,1.3892425048298591,0.1786199122676255
2335,bike_change_from_predictions,,train,1.8478655847656968,1.2728643126681511,0.1276713171036705
2335,bike_change_from_predictions,,valid,1.975842403589689,1.3750733767802832,0.1466633019359597
2348,rental_count,100.0,train,2.020895765579593,1.168146445354172,0.5636429857791394
2348,rental_count,100.0,valid,1.973015164411376,1.1890391852716145,0.6639723534998206
2348,rental_count,100.0,test,1.7214576977176457,1.021376223755997,0.5847712637685701
2348,return_count,100.0,train,2.3385185581511285,1.3829012391106064,0.6408492749871693
2348,return_count,100.0,valid,2.476408987405222,1.5106607128046088,0.6701884805632061
2348,return_count,100.0,test,2.221901704982645,1.2797199200033007,0.6441103712692613
2348,bike_change_from_predictions,,test,2.5812403960973263,1.5679734064049664,0.6228900000579087
2348,bike_change_from_predictions,,train,2.639197433332275,1.6412794093369916,0.6130104911283567
2348,bike_change_from_predictions,,valid,2.741745318805356,1.7378613592172725,0.6550452821621614
2340,rental_count,0.001,train,1.765673187031802,1.2542253965785448,0.3795460084953802
2340,rental_count,0.001,valid,1.7012603839039666,1.204050417176617,0.3970206775176583
2340,rental_count,0.001,test,1.4762990049896274,1.0655756060143855,0.3757729213383499
2340,return_count,100.0,train,1.8596808989262048,1.3264284965669817,0.4398191905390023
2340,return_count,100.0,valid,1.7442207674074637,1.2557263149642073,0.4382180602694696
2340,return_count,100.0,test,1.5403122408328735,1.122116041601675,0.4205765329639268
2340,bike_change_from_predictions,,test,1.8011291731742924,1.2770554152682458,0.2689134786258303
2340,bike_change_from_predictions,,train,1.977416821559905,1.3966728095397545,0.2260176782549933
2340,bike_change_from_predictions,,valid,1.909573964779356,1.351322211529954,0.1918258012402829
2404,rental_count,0.001,train,1.7392085669687565,1.2533481268987456,0.3440069052239843
2404,rental_count,0.001,valid,1.7770206194222942,1.2709650848233536,0.3724055929201967
2404,rental_count,0.001,test,1.5816254721136411,1.1359697463382925,0.3231270715550737
2404,return_count,100.0,train,1.7655732263666586,1.2806001864950676,0.3478176172188956
2404,return_count,100.0,valid,1.7296806294976734,1.2399270900473296,0.4062274382500698
2404,return_count,100.0,test,1.56132375558175,1.1261896626662733,0.3580953598948675
2404,bike_change_from_predictions,,test,1.877073749903274,1.2982998941179438,0.1422625215124355
2404,bike_change_from_predictions,,train,1.8563984484119895,1.3221337205667023,0.072928111234665
2404,bike_change_from_predictions,,valid,1.9890965507023477,1.3881063356417953,0.1671958602056986
2306,rental_count,100.0,train,1.7748900993071943,1.2403400378433456,0.3884218540864075
2306,rental_count,100.0,valid,1.6549175723321132,1.160839897536227,0.3770307698726607
2306,rental_count,100.0,test,1.4562751460128545,1.0124896388517437,0.339790621581712
2306,return_count,0.001,train,1.8052941724748768,1.2030291070528136,0.5252498238786836
2306,return_count,0.001,valid,1.7203008723322997,1.1494781942407664,0.5577056246668506
2306,return_count,0.001,test,1.4913049224558523,0.9917466247931191,0.523466870747455
2306,bike_change_from_predictions,,test,1.6482801886990393,1.102559166235456,0.2264997726347779
2306,bike_change_from_predictions,,train,1.7992162189909495,1.2168623851920874,0.2445479165840339
2306,bike_change_from_predictions,,valid,1.8143417155006163,1.2137860338631397,0.2778159200705606
2332,rental_count,10.0,train,1.5816302853072297,1.13787873977559,0.3825467274215846
2332,rental_count,10.0,valid,1.503711857867262,1.100674965238137,0.3987324120464095
2332,rental_count,10.0,test,1.3787545252692903,0.9866800007934512,0.3763672478258294
2332,return_count,0.001,train,1.7348329244872789,1.216463378582041,0.4408272674393944
2332,return_count,0.001,valid,1.6330512676463598,1.1734868205615518,0.4679919981144069
2332,return_count,0.001,test,1.4866106465156796,1.0716034007983657,0.4327895929392142
2332,bike_change_from_predictions,,test,1.6118308409032067,1.1320437103607524,0.0982485743556226
2332,bike_change_from_predictions,,train,1.7116981772150055,1.18385484432287,0.0950301893744678
2332,bike_change_from_predictions,,valid,1.6864767565776002,1.1905613799158572,0.074078421352195
2431,rental_count,1000.0,train,1.7125762835015768,1.2192588526721988,0.3673936186725615
2431,rental_count,1000.0,valid,1.5384272440111812,1.120776759708669,0.347736924609322
2431,rental_count,1000.0,test,1.3600049274027457,0.9676180744256588,0.3223559735600233
2431,return_count,100.0,train,1.6740174854397163,1.2253927577053227,0.3486565417669381
2431,return_count,100.0,valid,1.6052157826473128,1.1773065361415616,0.3664013434830855
2431,return_count,100.0,test,1.413733421904052,1.0206539178319838,0.3288233429017646
2431,bike_change_from_predictions,,test,1.6555702809814208,1.1572992718340889,0.0769612481455871
2431,bike_change_from_predictions,,train,1.821466889432109,1.2991008578854064,0.0816912051583367
2431,bike_change_from_predictions,,valid,1.81113906819232,1.288832415593899,0.0787320262002019
2384,rental_count,0.001,train,1.7553078589883062,1.2306590328447948,0.4327032810399457
2384,rental_count,0.001,valid,1.7618280541402698,1.228576851138369,0.4878184562847437
2384,rental_count,0.001,test,1.4937115117516475,1.059770026187671,0.4551498379407888
2384,return_count,100.0,train,1.770680368789764,1.2319072757861005,0.4532361844089659
2384,return_count,100.0,valid,1.8966979100813155,1.366346779711347,0.4490334591888494
2384,return_count,100.0,test,1.5596715196152755,1.0711150445512247,0.4159023976144098
2384,bike_change_from_predictions,,test,1.7752349597873631,1.2388664340430846,0.4195682039677788
2384,bike_change_from_predictions,,train,1.9009590417883533,1.3415512861736152,0.3787730555525641
2384,bike_change_from_predictions,,valid,2.053410741356457,1.4529247317339806,0.4455371754976087
2414,rental_count,0.001,train,1.5581081101161096,1.109693748486062,0.375416400607622
2414,rental_count,0.001,valid,1.5951829741853656,1.1225624337220976,0.3967752623347913
2414,rental_count,0.001,test,1.342528744254086,0.9556536584957812,0.368558321397629
2414,return_count,0.001,train,1.619740840822592,1.1378684569579374,0.4147868547679317
2414,return_count,0.001,valid,1.6171593032511122,1.164871036105076,0.4769350335353771
2414,return_count,0.001,test,1.4572005274032367,1.0535685606903666,0.4314178272301018
2414,bike_change_from_predictions,,test,1.685899494027297,1.1524504740075705,0.2525839712193627
2414,bike_change_from_predictions,,train,1.782853901109564,1.2348566956107587,0.1270596876588406
2414,bike_change_from_predictions,,valid,1.819756824300646,1.2576330183493434,0.2683002689711884
2342,rental_count,0.001,train,1.6581808493137482,1.176481393047966,0.3883527500946112
2342,rental_count,0.001,valid,1.461417412686997,1.0429870471085934,0.3825243403132706
