target,alpha,split,rmse,mae,r2
rental_count,1000.0,train,1.7125762835015768,1.2192588526721988,0.3673936186725615
rental_count,1000.0,valid,1.5384272440111812,1.120776759708669,0.34773692460932204
rental_count,1000.0,test,1.3600049274027457,0.9676180744256587,0.3223559735600233
return_count,100.0,train,1.6740174854397165,1.2253927577053227,0.34865654176693817
return_count,100.0,valid,1.6052157826473128,1.1773065361415616,0.3664013434830855
return_count,100.0,test,1.413733421904052,1.0206539178319838,0.3288233429017646
bike_change_from_predictions,,test,1.6555702809814208,1.1572992718340889,0.07696124814558714
bike_change_from_predictions,,train,1.821466889432109,1.2991008578854064,0.08169120515833672
bike_change_from_predictions,,valid,1.8111390681923198,1.288832415593899,0.07873202620020192
