target,alpha,rmse,mae,r2
rental_count,0.001,1.5099961029561546,1.0332500438353591,0.4757349249344952
rental_count,0.01,1.509996343616364,1.0332499051792692,0.4757347578218085
rental_count,0.1,1.5099987511100483,1.0332485210567957,0.4757330860743624
rental_count,1.0,1.510022914138647,1.0332349206908589,0.4757163072819548
rental_count,10.0,1.510272105723397,1.0331220852571823,0.47554325313417534
rental_count,100.0,1.5131009492381822,1.0331559213038144,0.4735767260300535
rental_count,1000.0,1.536011792317645,1.0435712025373902,0.4575142006106865
return_count,0.001,1.6138853468606496,1.1550561129093952,0.4748640178530379
return_count,0.01,1.6138849279671605,1.1550561519686833,0.47486429045730383
return_count,0.1,1.6138807538098696,1.1550565421871597,0.4748670068792471
return_count,1.0,1.613840469526215,1.1550611037183276,0.47489322237550347
return_count,10.0,1.6135598254888068,1.155181726180108,0.4750758367979312
return_count,100.0,1.6157917408723714,1.1578950373280126,0.4736226565935818
return_count,1000.0,1.6419964573539028,1.1726356001066944,0.4564107598893532
