target,feature,alpha,coefficient
rental_count,intercept,1000.0,-0.24393385868397321
rental_count,base_value,1000.0,0.05023595400390681
rental_count,month_weight,1000.0,0.021074805963644923
rental_count,year_weight,1000.0,-3.605893616806326e-30
rental_count,hour_weight,1000.0,0.08980410695054702
rental_count,pattern_prior,1000.0,0.1784641351350952
rental_count,corrected_pattern_prior,1000.0,0.7519313622344204
rental_count,day_type_weekday,1000.0,0.014952913365107625
rental_count,day_type_offday,1000.0,-0.014952913365107717
return_count,intercept,100.0,-0.2933051207597519
return_count,base_value,100.0,-0.037477010807925634
return_count,month_weight,100.0,0.07452553019565787
return_count,year_weight,100.0,0.0
return_count,hour_weight,100.0,0.34456652935323867
return_count,pattern_prior,100.0,0.14264294666826663
return_count,corrected_pattern_prior,100.0,0.7043525219976285
return_count,day_type_weekday,100.0,0.014347267851124492
return_count,day_type_offday,100.0,-0.014347267851124048
