target,feature,alpha,coefficient
rental_count,intercept,1.0,0.15275327044414166
rental_count,base_value,1.0,-0.00922492150716682
rental_count,month_weight,1.0,0.004783061026854399
rental_count,year_weight,1.0,0.0
rental_count,hour_weight,1.0,-0.2062081690916444
rental_count,pattern_prior,1.0,-0.2794678453142328
rental_count,corrected_pattern_prior,1.0,1.2544739410442483
rental_count,day_type_weekday,1.0,0.021540125193069252
rental_count,day_type_offday,1.0,-0.021540125193318983
return_count,intercept,0.001,0.019271016986339484
return_count,base_value,0.001,-0.036843143694340615
return_count,month_weight,0.001,-0.02336635124095604
return_count,year_weight,0.001,-2.9687701488512257e-24
return_count,hour_weight,0.001,-0.01887689234726898
return_count,pattern_prior,0.001,0.14867771696908064
return_count,corrected_pattern_prior,0.001,1.0276440196559913
return_count,day_type_weekday,0.001,0.02111739920122364
return_count,day_type_offday,0.001,-0.021117399197679902
