target,alpha,rmse,mae,r2
rental_count,0.001,1.5039494592958418,1.1013821247983653,0.3985423845169723
rental_count,0.01,1.5039491678791042,1.101381414787094,0.39854261760299536
rental_count,0.1,1.5039462625558866,1.101374320319719,0.39854494138686647
rental_count,1.0,1.503918080703642,1.1013039361863795,0.3985674820310434
rental_count,10.0,1.503711857867262,1.1006749652381367,0.3987324120464095
rental_count,100.0,1.5043374177228406,1.0985572798082237,0.39823204078141416
rental_count,1000.0,1.5137459742877006,1.1035560105750493,0.39068124403284465
return_count,0.001,1.6330512676463598,1.1734868205615518,0.46799199811440695
return_count,0.01,1.6330513007639385,1.1734867342658657,0.46799197653661895
return_count,0.1,1.6330516331695144,1.1734858712662806,0.46799175995744435
return_count,1.0,1.6330550790322576,1.173477286331169,0.46798951479964246
return_count,10.0,1.633100634643012,1.1733979255532223,0.46795983251772055
return_count,100.0,1.634077729409209,1.1727920097496143,0.4673229958550654
return_count,1000.0,1.6445702407896206,1.1766448295077503,0.4604603314132434
