target,feature,alpha,coefficient
rental_count,intercept,0.001,-0.5268566854982233
rental_count,base_value,0.001,0.14231979879733014
rental_count,month_weight,0.001,0.5120362264035248
rental_count,year_weight,0.001,0.0
rental_count,hour_weight,0.001,0.23301092868690831
rental_count,pattern_prior,0.001,-0.2647097699404426
rental_count,corrected_pattern_prior,0.001,0.8743488819349915
rental_count,day_type_weekday,0.001,0.04077310979236103
rental_count,day_type_offday,0.001,-0.04077310989458568
return_count,intercept,100.0,0.3012459004839725
return_count,base_value,100.0,0.06691795388887285
return_count,month_weight,100.0,-0.11134796016140323
return_count,year_weight,100.0,9.41625514961052e-29
return_count,hour_weight,100.0,-0.36761412141460253
return_count,pattern_prior,100.0,-0.3544622811688403
return_count,corrected_pattern_prior,100.0,1.3067003164995155
return_count,day_type_weekday,100.0,-0.04771744502210253
return_count,day_type_offday,100.0,0.04771744502211069
