target,alpha,split,rmse,mae,r2
rental_count,100.0,train,2.020895765579593,1.168146445354172,0.5636429857791394
rental_count,100.0,valid,1.9730151644113758,1.1890391852716145,0.6639723534998206
rental_count,100.0,test,1.7214576977176457,1.0213762237559967,0.5847712637685701
return_count,100.0,train,2.3385185581511285,1.3829012391106064,0.6408492749871693
return_count,100.0,valid,2.4764089874052226,1.5106607128046088,0.6701884805632061
return_count,100.0,test,2.221901704982645,1.2797199200033007,0.6441103712692613
bike_change_from_predictions,,test,2.5812403960973263,1.5679734064049664,0.6228900000579087
bike_change_from_predictions,,train,2.639197433332275,1.6412794093369916,0.6130104911283567
bike_change_from_predictions,,valid,2.741745318805356,1.7378613592172723,0.6550452821621614
