target,alpha,rmse,mae,r2
rental_count,0.001,1.4437007593255695,1.0051346658874225,0.333960941182719
rental_count,0.01,1.4437007207722354,1.0051327869697353,0.3339609767552236
rental_count,0.1,1.4437003445669905,1.005114025097787,0.3339613238733452
rental_count,1.0,1.4436974914926268,1.0049290963877537,0.33396395635314136
rental_count,10.0,1.4437403075324189,1.0033342231320292,0.3339244502255996
rental_count,100.0,1.4455816313848848,0.9973507984928389,0.33222436206511874
rental_count,1000.0,1.4565128210077263,1.0025458789072665,0.3220870153658778
return_count,0.001,1.5189004447335184,1.1021052135666585,0.25057530469699585
return_count,0.01,1.5188963032395681,1.102100784220408,0.25057939151337816
return_count,0.1,1.5188549353926375,1.1020565343499042,0.2506202125948128
return_count,1.0,1.5184459093730083,1.1016183447029977,0.25102377260873865
return_count,10.0,1.5147705677764176,1.0976502835616193,0.2546451225824661
return_count,100.0,1.497175830237659,1.0791995504708087,0.2718598207724827
return_count,1000.0,1.4804995979967017,1.0657519614235538,0.2879902035461568
