target,weight_type,key,value
rental_count,month_weight,1,0.5741427682526699
rental_count,month_weight,2,0.5348920847708397
rental_count,month_weight,3,0.9677021892976405
rental_count,month_weight,4,1.1372719259426123
rental_count,month_weight,5,1.1322262121492332
rental_count,month_weight,6,1.3119565204669843
rental_count,month_weight,7,1.1334887136685992
rental_count,month_weight,8,1.1256063909101444
rental_count,month_weight,9,1.3212063509319432
rental_count,month_weight,10,1.1757867324433575
rental_count,month_weight,11,0.9707795126116988
rental_count,month_weight,12,0.6149405985542769
rental_count,year_weight,2023,1.0084328486560186
rental_count,year_weight,2024,0.9889027326725536
rental_count,year_weight,2025,1.0026644186714277
rental_count,hour_weight,0,0.7744140330474708
rental_count,hour_weight,1,1.374863653741768
rental_count,hour_weight,2,1.400968830676397
rental_count,hour_weight,3,1.6050769696230858
rental_count,hour_weight,4,2.1961366981443358
rental_count,hour_weight,5,1.4159759047374845
rental_count,hour_weight,6,0.7222733541977401
rental_count,hour_weight,7,1.4651313394446577
rental_count,hour_weight,8,1.1379650193329232
rental_count,hour_weight,9,0.9278122253034994
rental_count,hour_weight,10,0.6594952249693988
rental_count,hour_weight,11,0.7896245190497073
rental_count,hour_weight,12,0.7553059920901088
rental_count,hour_weight,13,0.6685666647396836
rental_count,hour_weight,14,0.5980907542349748
rental_count,hour_weight,15,0.7304168347096359
rental_count,hour_weight,16,0.8640482600527645
rental_count,hour_weight,17,1.3055395022919016
rental_count,hour_weight,18,1.154863184327658
rental_count,hour_weight,19,0.7533757850447993
rental_count,hour_weight,20,0.691944303174706
rental_count,hour_weight,21,0.7983527321638075
rental_count,hour_weight,22,0.6410366908220003
rental_count,hour_weight,23,0.5687215240794918
return_count,month_weight,1,0.553220806646859
return_count,month_weight,2,0.5886065593290164
return_count,month_weight,3,0.9475174875408595
return_count,month_weight,4,1.226626621886759
return_count,month_weight,5,1.1754336060994204
return_count,month_weight,6,1.3902849862649573
return_count,month_weight,7,1.0511111256484642
return_count,month_weight,8,1.0418218761383156
return_count,month_weight,9,1.227062225668658
return_count,month_weight,10,1.1997113166969582
return_count,month_weight,11,0.9734331881358259
return_count,month_weight,12,0.6251701999439052
return_count,year_weight,2023,0.9600970010415205
return_count,year_weight,2024,1.035084529366114
return_count,year_weight,2025,1.0048184695923659
return_count,hour_weight,0,1.0053822129569943
return_count,hour_weight,1,1.5280358351587346
return_count,hour_weight,2,2.012019461443665
return_count,hour_weight,3,2.297955894543024
return_count,hour_weight,4,1.0074976322417208
return_count,hour_weight,5,0.2976790254716445
return_count,hour_weight,6,0.3605218917351489
return_count,hour_weight,7,0.959779865369202
return_count,hour_weight,8,1.485842344910825
return_count,hour_weight,9,1.478481000587455
return_count,hour_weight,10,0.7543232315055167
return_count,hour_weight,11,0.7221696519041072
return_count,hour_weight,12,0.7401269604114111
return_count,hour_weight,13,0.7837962234148383
return_count,hour_weight,14,0.6553280845667665
return_count,hour_weight,15,0.6902384408970493
return_count,hour_weight,16,0.7654238389279863
return_count,hour_weight,17,1.0586120069563272
return_count,hour_weight,18,1.2383775020615109
return_count,hour_weight,19,0.9568368361201081
return_count,hour_weight,20,0.8078930586488589
return_count,hour_weight,21,0.8886784928902278
return_count,hour_weight,22,0.8654090581605463
return_count,hour_weight,23,0.6395914491163314
