target,day_type,intercept,sin_hour_coef,cos_hour_coef,formula
rental_count,weekday,1.8399122807017547,-1.158336440696667,-0.1735513711750667,1.839912 + (-1.158336 * sin(2pi*hour/24)) + (-0.173551 * cos(2pi*hour/24))
rental_count,offday,1.7270480225988705,-1.263436585472232,-0.7217962384353914,1.727048 + (-1.263437 * sin(2pi*hour/24)) + (-0.721796 * cos(2pi*hour/24))
return_count,weekday,1.9863360323886647,-1.098911101126649,-0.6747502855850143,1.986336 + (-1.098911 * sin(2pi*hour/24)) + (-0.674750 * cos(2pi*hour/24))
return_count,offday,1.8019067796610173,-1.1220970517355227,-0.8695201916753089,1.801907 + (-1.122097 * sin(2pi*hour/24)) + (-0.869520 * cos(2pi*hour/24))
