target,feature,alpha,coefficient
rental_count,intercept,0.001,0.4418920697463027
rental_count,base_value,0.001,-0.103591076618988
rental_count,month_weight,0.001,-0.2452674078718719
rental_count,year_weight,0.001,0.0
rental_count,hour_weight,0.001,-0.31017573155416034
rental_count,pattern_prior,0.001,-0.14624095982217702
rental_count,corrected_pattern_prior,0.001,1.2574517267934173
rental_count,day_type_weekday,0.001,-0.043992526205969766
rental_count,day_type_offday,0.001,0.04399252627475875
return_count,intercept,10.0,1.5568479079564774
return_count,base_value,10.0,0.05100416928125283
return_count,month_weight,10.0,0.04976364278381712
return_count,year_weight,10.0,0.0
return_count,hour_weight,10.0,-1.7181271512341114
return_count,pattern_prior,10.0,-1.1455134398116935
return_count,corrected_pattern_prior,10.0,2.0351630356585932
return_count,day_type_weekday,10.0,-0.008996946961515267
return_count,day_type_offday,10.0,0.008996946961660935
