target,feature,alpha,coefficient,importance_abs,importance_ratio
rental_count,base_value,0.001,0.10086280909291401,0.10086280909291401,0.053354905300027115
rental_count,month_weight,0.001,0.2358569039349385,0.2358569039349385,0.12476474616341335
rental_count,year_weight,0.001,9.942411380044436e-24,9.942411380044436e-24,5.259385718154173e-24
rental_count,hour_weight,0.001,-0.25844892461070873,0.25844892461070873,0.13671558448065252
rental_count,pattern_prior,0.001,-0.21601966949523377,0.21601966949523377,0.11427114823109838
rental_count,corrected_pattern_prior,0.001,1.0515556971077509,1.0515556971077509,0.5562571094485775
rental_count,day_type_weekday,0.001,-0.013834521251850977,0.013834521251850977,0.007318253158939418
rental_count,day_type_offday,0.001,0.013834521362160747,0.013834521362160747,0.007318253217291623
return_count,base_value,0.001,-0.018116028257029404,0.018116028257029404,0.015849040316202993
return_count,month_weight,0.001,0.0973145702295501,0.0973145702295501,0.08513690335648738
return_count,year_weight,0.001,-5.32384150153449e-24,5.32384150153449e-24,4.657631209100948e-24
return_count,hour_weight,0.001,0.011205332188744798,0.011205332188744798,0.00980312898037975
return_count,pattern_prior,0.001,0.04685647436414422,0.04685647436414422,0.04099298923230026
return_count,corrected_pattern_prior,0.001,0.9490213277958587,0.9490213277958587,0.8302635142632216
return_count,day_type_weekday,0.001,-0.01026127888755128,0.01026127888755128,0.00897721180808483
return_count,day_type_offday,0.001,0.010261279156437217,0.010261279156437217,0.00897721204332315
