target,feature,alpha,coefficient,importance_abs,importance_ratio
rental_count,base_value,1000.0,0.05976122246628311,0.05976122246628311,0.04577891483945663
rental_count,month_weight,1000.0,0.053975692219416095,0.053975692219416095,0.0413470226267119
rental_count,year_weight,1000.0,0.0,0.0,0.0
rental_count,hour_weight,1000.0,0.24448457357095932,0.24448457357095932,0.18728262259662448
rental_count,pattern_prior,1000.0,0.2575060716046155,0.2575060716046155,0.19725748631199144
rental_count,corrected_pattern_prior,1000.0,0.681173829873592,0.681173829873592,0.5217998806206342
rental_count,day_type_weekday,1000.0,0.004264891291188538,0.004264891291188538,0.0032670365022906727
rental_count,day_type_offday,1000.0,-0.004264891291188557,0.004264891291188557,0.0032670365022906865
return_count,base_value,1000.0,0.07956140203714782,0.07956140203714782,0.06802876028903881
return_count,month_weight,1000.0,0.05852314866069394,0.05852314866069394,0.05004005899417474
return_count,year_weight,1000.0,-8.81073239022785e-30,8.81073239022785e-30,7.533592752247175e-30
return_count,hour_weight,1000.0,0.18236002051578365,0.18236002051578365,0.15592643925731875
return_count,pattern_prior,1000.0,0.20717469305186506,0.20717469305186506,0.17714415747726522
return_count,corrected_pattern_prior,1000.0,0.6354659300441187,0.6354659300441187,0.5433534140918993
return_count,day_type_weekday,1000.0,0.0032203891109264205,0.0032203891109264205,0.0027535849451516027
return_count,day_type_offday,1000.0,-0.0032203891109264687,0.0032203891109264687,0.002753584945151644
