cluster,avg_rental,rental_std,weekday_avg,weekend_avg,peak_ratio,night_ratio,weekday_weekend_gap
0,11.812,6.803,12.764,9.378,0.374,0.133,3.386
1,30.896,15.889,33.029,25.557,0.382,0.133,7.472
