k,inertia,silhouette
2,697.301503754785,0.4392371964656425
3,556.2584932930874,0.2761892779052124
4,449.04793464221257,0.293381350233966
5,384.73441726947175,0.28093641056719837
6,328.1559394229373,0.276753034117802
