station_id,avg_rental,rental_std,weekday_avg,weekend_avg,peak_ratio,night_ratio,weekday_weekend_gap
2301,22.729805013927578,18.358569502005736,19.62109375,30.45631067961165,0.35441176470588237,0.16427696078431372,-10.83521692961165
2302,19.029577464788733,9.643166560641564,20.30708661417323,15.816831683168317,0.3386869957812153,0.22144918954925616,4.4902549310049125
2303,24.417236662106703,12.58449485317816,26.729885057471265,18.641148325358852,0.39413972771583844,0.15726371225278726,8.088736732112412
2304,8.457308248914616,6.207929780874238,9.120481927710843,6.746113989637306,0.41084873374401093,0.12782340862422997,2.3743679380735374
2305,7.139737991266376,4.149991245352111,8.376470588235295,3.5762711864406778,0.4089704383282365,0.072782874617737,4.800199401794616
2306,40.437756497948016,17.916469729345227,43.672413793103445,32.35885167464115,0.4019621109607578,0.10514208389715832,11.313562118462293
2307,9.584144645340752,5.674143481306938,9.74368932038835,9.181372549019608,0.3337686837904513,0.12001160934552314,0.5623167713687423
2308,21.659807956104252,9.868060391846738,22.481765834932823,19.60096153846154,0.3200126662444585,0.1207726409119696,2.8808042964712826
2309,11.158192090395481,7.6679942926584665,12.381322957198444,7.917525773195877,0.46544303797468356,0.1179746835443038,4.463797184002567
2310,8.327777777777778,4.630227293622229,8.782524271844661,7.185365853658537,0.2805203468979319,0.2596731154102735,1.5971584181861243
2311,8.23342939481268,6.507647231800812,8.756539235412475,6.913705583756345,0.35806790339516975,0.11725586279313965,1.8428336516561306
2312,11.043417366946779,6.631732765222023,12.25875486381323,7.92,0.45935320228281545,0.15878249841471148,4.3387548638132305
2313,9.652892561983471,5.252326765266116,10.432432432432432,7.711538461538462,0.2695490867579909,0.21646689497716895,2.72089397089397
2314,8.180327868852459,5.84133243947483,7.50418410041841,9.854922279792746,0.3503370377117872,0.11805429039897977,-2.3507381793743356
2315,14.887966804979254,8.876649728547854,16.982692307692307,9.52216748768473,0.42948717948717946,0.08797844667409885,7.460524820007578
2317,11.849056603773585,7.312873457195109,11.546419098143236,12.594771241830065,0.35621019108280255,0.13726114649681528,-1.048352143686829
