,반납대여소번호
496,2341
477,2382
473,2342
495,2340
564,2429
471,2302
481,2302
513,2417
489,2319
508,2389
479,2415
488,2409
486,4906
490,2408
485,2377
482,2318
483,2373
523,2413
524,2413
484,4902
581,2428
519,2413
497,3647
526,3627
533,2342
499,2330
502,2377
498,2363
541,2351
518,2337
510,2325
501,2384
505,2413
503,2347
500,2412
575,2373
504,2347
506,2394
534,2403
509,2375
516,2404
515,2313
529,2339
520,3651
527,2377
521,2404
539,2370
544,4905
517,2341
522,2330
595,3651
535,2358
528,4917
552,2387
530,3602
531,3618
532,4914
536,4902
545,3612
543,2414
540,2324
537,3628
570,2324
551,3651
547,2318
558,2348
553,2327
571,2324
542,2331
573,2358
546,3637
559,2330
620,4905
619,4905
548,2332
568,2328
555,4906
550,2431
563,3636
560,2362
556,2372
554,2336
580,2305
601,2303
562,2335
561,2310
579,3627
594,2306
578,3627
613,2406
565,3651
622,2369
566,2415
583,3646
567,4911
569,2310
591,2408
586,2387
572,3618
576,2377
590,2413
574,3651
589,2423
585,2428
607,2326
582,2359
592,2324
587,2302
577,2319
588,3636
610,2342
609,2342
639,2428
584,2332
597,4906
593,2431
616,3638
596,4919
626,2384
625,2384
611,2419
600,2308
605,2368
599,2415
598,2415
602,2431
615,4918
618,2340
604,2324
606,2342
603,2415
612,2417
608,2423
1432,2428
1441,2323
1443,3612
1433,4917
1622,3649
1434,3649
1460,2320
1439,2375
1451,3621
1438,2375
1437,4914
1440,2332
1448,4901
1495,2408
1442,2312
1462,4919
1455,2342
1486,2314
1450,2375
1491,2332
1446,2372
1447,2324
1496,2308
1452,2416
1453,2370
1463,2404
1485,2369
1470,2306
1457,2333
1487,2404
1624,4902
1459,2312
1474,3618
1458,3649
1472,3609
1465,2342
1467,2412
1477,2423
1750,3648
1469,2337
1503,3641
1481,3649
1466,2315
1507,3618
1489,2377
1490,2377
1482,2309
1478,2333
1480,3622
1471,2412
1479,2418
1513,3636
1483,2335
1484,3614
1488,2335
1498,2348
1504,2359
1609,2413
