,반납대여소번호
1101,3636
1142,2421
1219,2431
1218,2431
1188,2415
1143,2421
1119,3649
1149,2303
1208,4916
1324,2358
1183,2340
1204,2415
1203,2415
1109,2368
1121,2369
1127,2354
1181,2405
1209,4916
1179,2405
1325,3618
1146,2302
1229,3623
1145,2302
1148,3615
1151,2418
1139,3651
1131,2431
1132,2411
1124,2351
1136,2410
1126,4902
1326,2313
1137,3628
1150,3618
1147,2342
1245,2411
1154,4905
1224,2381
1141,3604
1226,2381
1173,2380
1233,3623
1155,3618
1182,3627
1329,2327
1153,2392
1169,4902
1227,3623
1210,2431
1190,2409
1170,2380
1195,2409
1157,3638
1163,2332
1156,2358
1174,2356
1158,2404
1302,2369
1171,2394
1239,2343
1285,2362
1165,3612
1166,3646
1167,2306
1164,3612
1199,2324
1187,2359
1185,2353
1189,2384
1175,2385
1202,2382
1176,2431
1180,2385
1197,4919
1265,2301
1264,2301
1200,2307
1186,2418
1214,3612
1205,3630
1212,2429
1213,2429
1201,2423
1196,4917
1198,2385
1206,2381
1243,3644
1207,2302
1263,2336
1211,2382
1281,2324
1193,2369
1194,2389
1251,2427
1260,3614
1217,2328
1216,2320
1215,2413
1262,2302
1261,2302
1293,2408
1257,2342
1225,2317
1241,3612
1289,2313
1423,2394
1223,2320
1228,3640
1231,2420
1248,2382
1230,2342
1255,2389
1222,2342
1249,2387
1242,4905
1250,2387
1246,2429
1235,2431
1236,2431
1232,2325
1288,2382
1240,2404
1247,4913
1244,4918
1252,2314
1256,3642
1254,2415
1259,2371
1258,2429
1283,3638
1314,4906
1315,4906
1253,2351
1272,2302
1273,2302
1268,2304
1271,2411
1267,3609
1270,2333
1290,4918
1274,2377
1339,3638
1305,2308
1399,3646
1266,2340
1307,2404
1355,3637
1338,2396
1297,2377
1319,2414
1320,2414
1278,2372
1276,2319
1279,2375
1296,2362
1277,2330
1294,2362
1301,2387
1298,2362
1275,2414
1337,2396
1269,2304
1292,2335
1304,2342
1303,3614
1291,2423
1295,2362
1284,2415
1312,3634
1280,4908
1282,2419
1353,2382
1300,2427
1299,2406
1368,2423
1306,3623
1357,2301
1308,3651
1313,2409
1344,2335
1345,2335
1310,3651
1366,2423
1356,2301
1309,2377
1365,2340
1361,2382
1375,2358
1321,3614
1317,2335
1323,3614
1311,2354
1322,3614
1316,2309
1318,2394
1425,2359
1342,2337
1327,2431
1358,2384
1343,2423
1348,2383
1328,2416
1394,2428
1330,3638
1334,2324
1336,3627
1349,2308
1333,2422
1446,2404
1332,2351
1347,2382
1331,4917
1340,2342
1335,3611
1341,2415
1352,2384
1346,2426
1351,3636
1350,3648
1398,2387
1444,3637
1369,2326
1354,3614
1370,2362
1377,2306
1359,2431
1372,3636
1416,2372
1376,2369
1439,2364
1363,4908
1378,2419
1410,3614
1360,4913
1406,2404
1408,2324
1371,2387
1362,3651
1465,2373
1386,2359
1364,2382
1367,2408
1392,4917
1373,4917
1405,2404
1403,2415
1490,2429
1374,2342
1387,4918
1379,2372
1418,2342
1384,2413
1382,2413
1383,2413
1381,2377
1380,4918
1455,2412
1385,2430
1424,2351
1513,2358
1404,2384
3016,2342
3032,4902
3090,4914
2961,2401
2945,4914
2996,2340
2941,2333
2976,2430
2957,2372
2942,3647
2963,3612
2952,2335
2970,2344
3112,2431
2944,2413
2951,3604
2958,2404
2947,4907
2977,2360
2956,2375
2999,2423
3054,2408
2968,3628
2997,2372
3065,3614
2967,2362
3167,2385
2954,2330
2978,2375
2983,2360
2975,2325
3074,2317
3034,3624
2966,2416
3012,2412
3050,2394
2998,3634
3008,2312
2965,2327
3006,2426
2964,4905
2991,2302
2969,2419
3014,2377
2979,2411
3165,2431
3071,2365
2982,2431
2987,4905
3056,2303
2994,2305
3004,2384
2980,2328
2981,2342
2985,2365
3003,3618
3038,2380
3044,3602
2988,2406
3010,3640
2992,2312
3030,2327
3017,3621
3069,2340
3001,2365
3052,2420
3000,2389
3041,2414
3096,2357
3015,2359
3159,2384
3036,2408
3013,2368
3072,3627
3011,2339
3029,4901
3028,4901
3037,2408
3031,2384
3023,2404
3019,2343
3216,2369
3033,2315
3136,2325
3081,2421
3021,2364
3055,2303
3139,2306
3229,3612
3082,4902
3027,2342
3040,2427
3103,2364
3084,2423
3026,2335
3105,2320
3046,3622
3064,2348
3042,2365
3085,2423
3088,2404
3045,3606
3047,2429
3025,2428
3318,3649
3035,2420
3073,2377
3039,3618
3357,2415
3049,2429
3066,2414
3020,3621
3061,2390
3053,3649
3095,2381
3070,2408
3106,2404
3123,2342
3282,2348
3087,2429
3189,2421
3083,4924
3117,2358
3060,2348
3062,2389
3080,2372
3051,2302
3186,3630
3134,2408
3110,2431
3068,2303
3063,2420
