,반납대여소번호
1899,2422
1796,4905
1851,2306
1961,2369
1795,2415
2007,2315
1800,2326
1803,2375
1797,2420
1809,4906
1902,2339
1799,2431
1805,4906
1808,2407
1929,2317
1804,2348
1790,4914
1814,2306
1818,2431
1802,3641
1815,2333
1824,2306
1816,2418
1817,2420
1798,3647
1830,2332
1812,2352
1813,2375
1821,2382
2196,2420
1829,2365
1853,2306
1875,2423
2244,3627
1846,2422
1838,2306
1909,2394
1806,4906
1887,2403
1881,2344
2091,4902
1920,2324
2138,3641
1852,3616
1833,2303
2005,2373
1840,2335
1847,3646
1835,2407
1871,2414
1866,3618
2039,2333
1820,2418
1868,2348
1895,3611
1819,4917
1837,3621
1842,2356
2031,3624
1878,2372
1825,2332
1863,3651
1844,4914
2190,4917
1854,2382
1862,2413
1843,3604
1905,2422
1832,3636
1903,3622
1839,2377
1861,2348
1827,4906
1828,2306
1841,2420
1858,2330
1848,2405
2079,2358
1831,2332
1872,2382
2393,2301
1876,2332
1834,2306
1896,2415
2017,2317
1850,2312
1874,4903
1845,2390
1836,2357
1870,4908
1884,4918
1979,2344
1889,2384
1890,2384
2428,4905
1855,2407
1873,2420
1898,2413
1882,2387
1912,2319
1880,2389
2188,2368
1879,2360
1857,2362
1864,2416
1885,2365
1877,3604
1911,3614
1867,2407
1859,3614
1913,4906
2015,2340
1955,3630
1865,3628
2438,2308
1883,2336
1894,2327
1892,4911
2543,2394
1932,2331
1915,2375
1891,2362
1893,2362
1886,2330
1971,2414
1900,2405
2076,2420
1956,2340
1901,2404
1993,2335
1921,2373
1924,2373
2045,2308
1966,2389
1937,2377
1943,2332
1928,2387
1970,2340
1914,4902
1944,2321
1945,2405
1967,3609
1919,4903
1923,2422
1936,2335
2011,2404
2010,4923
1931,2306
1960,2301
1918,2335
1934,2344
2019,2423
1941,2351
2003,3642
1917,2425
2312,2332
2006,2320
2321,2431
2170,2383
2092,2340
1935,2308
1922,2314
2016,2423
3310,2415
1982,2334
2141,2342
1916,2376
1925,4923
2258,2369
2152,2405
1989,2312
2023,2429
2047,2403
1965,2319
1938,2422
1927,2306
1975,2422
1946,2350
1949,2344
1950,2344
1959,2342
1926,3606
1951,2405
1988,2342
1977,2430
1940,2313
1948,2335
1997,2348
2216,2384
1952,2420
1957,2421
1933,2306
2073,2359
1942,2431
1953,2420
1963,3618
2009,2330
1962,2369
1958,2364
1947,4906
2070,2340
2186,2332
1939,2342
2040,2339
2172,2362
1972,2382
1974,2423
2243,3602
1980,2405
1969,2418
1986,2303
2049,2413
1983,2416
2004,3649
1954,2303
1976,3622
2008,2354
2086,2348
1990,2306
2264,2335
2062,3651
1994,2426
1964,2340
1978,2423
2032,3612
2000,2417
2027,2390
1985,3616
1992,2420
2083,2381
2497,2370
1996,3636
1981,4914
2036,3609
1998,2404
2173,2317
2021,2353
2066,2413
2028,2303
1991,4914
2180,2317
2064,2384
2020,2404
2002,3628
2001,3614
2029,3624
2154,3651
2026,4915
2303,2360
2012,2427
2022,2369
2024,2375
1995,2352
2318,2312
2014,3623
2013,2411
2123,2373
2034,2377
2035,3651
2183,4905
2044,4926
2041,2404
2025,4915
2088,2407
2042,2420
2048,2409
2043,2406
2018,2413
2137,2387
2058,2308
2085,2431
2030,2388
2437,3651
2156,2412
2052,2335
2227,2415
2494,2396
2057,2318
2053,3651
2113,4913
2051,2394
2187,2325
2060,3611
2193,2315
2037,3615
2112,3615
2104,2340
2130,2306
2050,2414
2115,3615
2105,2373
2096,2423
2059,2375
2054,2375
2061,2415
2118,3649
2068,2418
2116,3649
2077,2333
2082,2303
2571,2307
2131,4906
2074,2429
2065,2335
2072,4916
2615,4902
2071,2375
2090,2306
2129,2384
2055,2340
2122,3615
2075,3604
2078,2325
2144,4925
