,반납대여소번호
1401,2420
1397,2423
1406,2403
1407,2394
1490,2369
1411,3641
1415,2419
1416,3614
1412,2303
1403,2388
1468,2423
1421,3646
1422,2421
1405,2328
1601,2423
1426,2307
1777,2339
1433,2333
1457,3604
1456,4901
1418,2312
1434,2306
1435,2375
1444,2336
1414,2388
1423,3604
1430,2387
1439,2396
1547,3624
1440,2431
1432,2389
1473,2382
1429,2333
1460,3628
1437,2321
1447,2410
1428,3604
1445,3622
1663,3651
1431,2332
1425,2387
1497,2394
1507,3644
1614,3637
1441,3641
1419,2323
1571,4926
1485,2323
1438,3604
1448,2431
1527,2404
1450,2409
1495,4907
1639,2377
1504,2328
1470,2377
1608,2328
1451,4915
1443,2330
1458,2404
1449,2332
1467,2375
1436,2420
1464,2429
1452,4906
1759,2327
1453,2411
1454,2308
1613,2315
1622,3618
1486,3609
1463,2372
1787,2414
1627,2410
1872,2386
1489,2403
1487,2319
1478,3627
1483,2394
1900,2420
1537,3614
1558,3604
1481,3604
1494,2350
1563,2427
1514,2404
1505,2394
1477,2423
1471,2329
1476,2419
1493,2415
1491,4923
1482,2414
1655,3604
1584,2340
1500,2340
1520,2357
1499,2380
1475,2382
1503,2409
1512,2408
1480,4902
1501,2376
1598,2336
1726,2381
1496,2358
1488,4908
1528,2324
1508,2429
1502,3618
1541,2377
1570,2302
1513,2422
1518,2360
1517,3609
1506,2335
1529,2369
1525,2380
1509,4924
1498,2303
1583,2410
1510,2340
1559,4907
1557,2421
1543,2332
1519,2303
1565,3612
1560,3606
1587,2348
1689,2348
1866,3641
1521,2413
1556,2328
1546,3614
1553,2426
1542,3618
1536,2303
1555,2350
1524,2420
1544,2327
1516,2336
1523,2426
1532,2420
1550,2324
1545,4913
1548,2304
1534,3614
1538,2335
1540,2347
1864,2403
1535,2344
1533,2416
1539,2339
1564,3618
1526,2416
1831,3606
1549,2404
1567,3630
1561,2429
1552,3641
1530,2372
1569,4911
1761,2408
1574,2327
1592,2386
1676,2389
2132,2308
1554,2407
1578,2342
1568,2423
1566,2369
1594,3615
1604,2413
1593,3615
1635,2325
1599,2404
1576,2380
1595,3614
1649,2403
1597,2320
1575,2353
1562,2371
1590,2384
1582,2335
1577,3646
1664,4916
1585,2303
1700,2415
1581,2384
1580,3628
1600,2418
1618,2394
1645,2327
1999,2376
1803,4906
1602,2394
1586,2384
1615,3618
1589,3629
2245,3614
1579,2410
1682,2307
1642,2360
1596,2369
1603,3614
1936,2384
1641,2331
1709,2430
1591,3606
1606,4902
1609,2340
1619,2409
1588,2387
1632,2405
1662,2333
1616,2325
1832,2410
1819,2377
1612,2339
1617,4902
1620,3612
1631,2333
1623,2390
1654,2377
1630,2421
1692,2360
1661,3646
2005,4913
1652,3643
2009,4913
1638,2306
1636,2409
1607,2327
1633,2409
1658,2403
1611,2377
1610,2392
1621,2333
2015,2328
1666,2377
1705,2377
1684,2385
1629,4901
1722,4911
1651,2384
1670,3644
1634,3636
1628,3627
1671,2335
1792,2384
1640,2306
1624,2420
1626,2420
1625,2420
1681,2360
1965,3641
1695,2422
1669,2405
1637,2403
1823,3627
1834,3646
1985,4902
1683,2308
1854,2372
1753,3643
1644,3606
1647,2431
1703,2325
1665,3647
1679,2320
1678,2302
1660,2396
1667,2384
1696,2409
1648,4926
1653,2381
1656,2426
1657,2416
1723,2431
1650,2332
1643,2333
1750,4918
1646,2421
1941,2370
1708,2405
1680,2427
1712,2360
1764,2430
1672,2347
1720,2327
1737,4913
1736,4913
1687,4918
1813,3604
1701,2429
1702,3604
1694,2327
1685,2302
1677,3612
1719,2410
1693,3641
2025,2409
1718,3630
1690,2335
1713,2416
1733,2413
1699,2403
1934,3610
1706,2389
1688,2420
1747,3634
1673,2384
1675,2370
1674,2430
1727,2404
1704,2430
1711,2407
1698,2420
1697,2420
1686,2370
1707,2332
1710,3642
1714,3636
1717,2415
1768,2404
1715,2416
1962,2431
1734,2390
2035,2429
1724,4913
1732,2384
1748,2405
1776,3644
1784,2423
1741,3651
1770,2340
1744,2431
1735,2430
1756,2342
1738,2407
1752,2430
1716,4906
1746,3644
1749,2419
1849,3628
1827,2368
1767,2372
1766,4913
1783,2404
1742,2327
1729,3641
1780,4915
1740,2332
1938,4906
1725,2321
1743,2411
1772,2413
1754,2416
1955,4906
1760,2407
1739,3649
1721,2332
1728,2323
1751,2333
1757,2419
1765,4906
1730,2340
1763,2306
2006,2431
1731,2381
1899,4906
1781,2407
1804,2357
1745,4907
1771,2337
1775,2404
1755,2323
1786,3647
1773,3604
1815,2415
1758,3604
1798,2340
1774,4901
1762,2427
2030,2336
1779,2405
1782,2358
1949,2386
1795,2421
1797,2418
1807,2352
1874,3628
1769,2306
1826,2331
1909,2369
1814,2303
1940,2307
1829,2419
1806,2307
1810,2340
1796,2413
1860,2415
1802,2306
1778,2330
1811,2368
1789,2310
1942,2427
1793,2348
1790,2415
1892,2375
1794,4911
1788,4906
1808,4918
1799,2412
1939,2330
1846,3621
1809,2309
1812,4903
1801,2321
1785,2416
1838,2306
1871,4917
1857,2414
1835,2377
1805,2328
1816,2394
1817,4918
2039,2307
1836,2398
1847,2375
1863,3648
1822,2377
1873,2303
1855,4906
1853,2331
1882,2332
1800,2387
1868,2357
1830,2382
1837,2359
1851,2425
1825,2431
1820,2430
1843,3621
1914,2423
1818,2430
1824,2423
1833,2306
1839,2385
1893,2429
1918,2423
1821,3649
1982,2404
1828,3643
1869,2382
1841,2384
1886,3646
1896,3611
1885,3646
1870,2332
2051,2415
1848,2303
1840,3649
1850,2409
1856,3627
1842,2335
1981,2324
1862,2421
1867,3620
1845,2403
1858,2364
1844,4917
1859,2306
1852,2410
1861,2353
2012,3636
1880,2320
1888,4926
1865,2332
1875,2384
1876,2390
1922,2430
1994,3624
1878,4902
1901,4923
1953,2327
1945,4926
1911,2403
1897,2330
1915,2309
1877,2332
1881,2422
1917,2308
1912,3651
1883,2376
1905,2320
1887,2335
1963,2429
1891,2303
1916,2325
1928,3612
1879,3646
1884,2333
1889,2309
1908,2384
1890,2394
1997,4919
1996,4919
1898,2330
1904,2377
1895,2303
1906,2384
2083,2331
1943,2305
1907,2305
1894,2408
1952,2306
1983,2377
1903,2357
1969,2319
1913,2335
1920,2422
2096,2408
1921,2394
1923,2369
1910,3604
1932,4917
