,반납대여소번호
1964,2384
1867,2377
1868,2389
1902,2404
1912,2376
1917,2376
1904,2348
1934,2416
2213,2373
2193,2331
2005,2394
1999,2423
1948,2423
2120,2301
1891,2419
1932,2414
2123,2301
1918,2373
2159,3614
2127,2412
1974,2348
1937,3602
1914,2381
1913,2423
1896,2415
1931,3628
1981,2320
1899,2419
2335,2414
2538,2404
2226,2336
2225,2336
2013,3622
2132,2372
1963,2404
2629,2419
1910,2403
2054,2308
2340,2414
2578,2301
2619,2301
2620,2301
2362,2403
1954,2325
2216,2373
2115,2306
2076,2314
1983,4905
2547,2404
1949,2365
1946,2365
1992,2372
1986,2384
2034,4926
1985,2384
1935,2389
2180,3638
1966,3628
1943,2301
2372,2351
1987,2376
2255,3611
1968,3623
1994,2369
1977,2333
2245,3612
2243,3612
2022,2419
2440,2404
2065,4918
1970,3623
2493,3606
2029,2413
2049,2351
1959,2387
2012,2330
2241,2314
2238,2301
2309,2301
2026,2340
2016,3641
2134,2404
1997,2364
1990,2372
2001,2324
2025,2411
2006,2324
2723,2429
2002,2388
2409,2302
2579,2301
2269,3641
2085,2387
2038,2422
2082,4917
2081,2412
1991,2341
2024,3612
1995,2372
2023,3612
2028,2423
2597,2301
2595,2301
2628,2324
2007,2384
2257,2313
2262,2313
2680,2394
2233,2340
2020,2323
2009,2351
2266,2372
2003,4901
2265,2372
2021,2431
2056,2414
2158,4913
2008,2368
2139,2418
2285,2340
2037,2332
2059,2320
2189,2413
2031,2423
2098,2370
2258,2325
2104,2409
2227,3624
2313,2418
2063,2429
2281,2340
2051,2418
2044,2431
2352,3627
2190,2413
2046,2431
2326,3627
2033,2376
2039,2372
2177,4906
2175,4906
2437,2372
2284,2401
2178,2373
2413,2315
2282,2401
2129,2359
2141,2369
2183,3643
2048,2421
2229,2404
2073,2359
2069,2325
2035,2420
2068,2325
2565,2407
2253,2415
2150,4909
2100,2377
2075,2389
2171,2406
2571,3644
2224,2332
2060,3629
2062,3629
2053,2323
2381,2420
2206,2301
2052,2301
2041,4905
2040,4905
2149,2426
2116,2384
2042,2301
2061,2405
2228,3624
2359,3623
2195,3612
2083,2429
2298,2423
2528,3627
2165,2324
2498,2315
2350,4907
2342,2418
2345,4906
2096,2377
2078,2387
2474,2301
2455,2362
2117,2336
2188,2431
2185,2431
2622,2423
2091,3651
2106,2308
2505,2330
2093,2306
2152,3604
2176,2388
2135,2417
2221,2307
2079,3618
2133,2373
2161,3651
2131,2413
2201,3638
2109,2384
2199,3623
2094,3623
