,반납대여소번호
2693,4923
2582,2357
2605,3647
2608,2407
2734,2342
2645,2327
2985,4906
2737,3628
2743,4905
2551,2342
3237,4913
2704,2342
2577,2332
2622,2339
2967,2306
2596,3614
2648,2356
2621,2368
2580,2312
2916,2320
2662,3614
2819,2342
2595,2416
2593,4918
2759,2303
2589,2348
2744,4905
2750,2372
2629,4919
2590,2420
2597,2344
2940,3618
2606,2335
2722,2430
3414,2369
2632,2375
2698,2303
2633,2335
2644,2335
2677,2376
2928,2412
2631,2369
2657,4905
2702,3628
2667,2335
2591,2348
2681,2413
2626,2306
2614,2420
2599,3646
2818,2306
2679,3628
2716,2423
2628,2306
2634,2418
2772,2404
2638,2333
2663,2381
2684,2390
2652,2306
2592,2420
2914,2342
2625,2405
2769,3609
2802,3646
2658,2335
2651,2306
2784,2409
2908,3612
2653,2312
2857,2303
2986,2415
2655,2431
2680,2311
2673,2335
2691,3609
2603,2308
2649,3606
2659,2362
2654,2431
2851,3640
2713,2358
2643,4911
2646,2405
2709,2302
2745,2306
2650,2369
2636,2323
2656,2431
2623,2348
2624,2410
2647,2303
2670,2431
2686,2340
2672,2308
2627,2331
4263,2377
2789,2302
2699,2334
2738,4902
2640,2306
2689,2417
2762,4923
2927,2332
2661,4906
3013,2301
2665,2336
2664,2332
2732,4929
2725,3618
2707,2404
2714,4906
2668,2420
2641,2340
2828,4924
2688,2357
2865,2384
2683,3602
2708,2330
2723,2329
2675,2419
2715,3612
2718,2362
2767,2419
2871,3609
2984,2301
2855,2373
2694,2335
2692,2420
2825,3651
2785,2421
2729,2368
2705,2335
2685,3638
2724,2320
2711,3606
2814,2312
2918,2382
2690,2380
3062,4929
3029,2431
3487,2303
2719,2324
2746,2377
2697,2333
2731,3602
2687,2348
3017,2342
2706,2329
2695,2336
2735,2429
2778,2414
2756,2423
2717,2335
3473,2431
2701,2416
2973,4902
2771,2423
2730,3628
2976,2369
2806,2406
3064,2418
3006,2351
2873,2360
2969,2369
2720,2403
3072,2312
2733,2333
2754,2359
2833,2430
2721,3646
2696,2429
3077,2404
2726,4917
2898,2423
2700,2429
2797,2384
2758,2306
2710,2348
2760,2306
2949,3602
2736,2306
2777,2386
2770,2340
2747,2319
2740,2409
3247,2386
2739,3604
2763,2380
2896,3644
2790,2412
2757,3614
3533,2372
2749,2369
2840,2365
2847,2331
2846,2431
2823,2377
2955,2415
2779,3602
3018,2384
2885,2320
2764,2404
2925,2315
2910,3614
3493,2326
2773,2422
2793,2320
2863,2351
2791,3641
3109,2341
2795,2320
2761,2420
2780,2342
2787,2410
2755,2323
2842,2342
3540,4907
2788,2414
3067,2389
2905,2404
2804,2405
2775,3614
2792,2409
2816,3647
2809,2306
3398,2416
2782,2348
2805,2415
2830,2384
2794,2332
2958,4926
2786,4929
2813,2404
2822,2412
2994,2423
2781,2396
2798,3604
3252,3638
2799,2335
2888,2348
2837,2411
2856,2331
2817,2335
2810,2421
2836,2406
3577,2308
2826,2303
2991,2320
2869,2342
2829,2404
2897,2363
2808,2332
2796,2336
3313,2415
2812,2431
2803,2420
2835,2423
3261,3646
2832,3647
2859,3627
2801,2312
2858,2304
2879,2332
3490,4917
2862,2328
2875,3637
2843,2358
3245,2348
2783,2308
2831,2320
3177,2429
2911,3616
2848,2340
2900,2342
2853,2335
2993,4923
2820,2306
2915,2348
2860,2328
3016,2333
2834,2330
2821,3644
2874,2303
2866,2384
2881,4918
2811,2413
2807,2420
2824,2363
2889,2413
2839,2325
2972,2414
2907,2413
2894,2326
2852,2384
2864,2416
2867,3646
2934,2385
2841,2384
2854,2423
2996,2407
2849,3604
2878,2358
2861,2431
2845,2312
2844,2423
2987,2393
2884,2303
2827,3628
3279,2428
3546,2310
2890,3614
2924,4918
2868,4930
2997,2403
3160,3651
2872,2373
3165,3651
2922,2382
2876,2418
2870,2403
3156,3651
2883,2375
2899,4917
3009,2337
3090,2404
3173,3634
2882,2381
2903,2335
2838,2306
2952,4923
2880,2332
2947,2302
3644,2321
2887,2407
2886,4928
2892,4916
2982,2384
3054,2308
2893,2414
2948,2352
2904,2431
2957,4919
3079,3627
2877,2303
2941,3614
2968,2333
3161,3651
2960,2382
2912,2369
3001,2332
2981,2405
