target,alpha,split,rmse,mae,r2
rental_count,0.001,train,1.5581081101161096,1.109693748486062,0.37541640060762205
rental_count,0.001,valid,1.5951829741853656,1.1225624337220976,0.3967752623347913
rental_count,0.001,test,1.3425287442540859,0.9556536584957811,0.368558321397629
return_count,0.001,train,1.619740840822592,1.1378684569579374,0.41478685476793176
return_count,0.001,valid,1.6171593032511122,1.164871036105076,0.47693503353537714
return_count,0.001,test,1.4572005274032367,1.0535685606903666,0.4314178272301018
bike_change_from_predictions,,test,1.685899494027297,1.1524504740075703,0.2525839712193627
bike_change_from_predictions,,train,1.782853901109564,1.2348566956107587,0.12705968765884068
bike_change_from_predictions,,valid,1.8197568243006461,1.2576330183493434,0.2683002689711884
