대여소번호,대여소명,주소,위도,경도,api_region_type,api_region_1depth_name,api_region_2depth_name,api_region_3depth_name,api_region_4depth_name,api_code,mapped_dong_code,mapped_dong_name
2301, 현대고등학교 건너편,서울특별시 강남구 압구정로 134,37.52407074,127.02178955,H,서울특별시,강남구,신사동,,1168051000,11680510,신사동
2302, 교보타워 버스정류장(신논현역 3번출구 후면),서울특별시 강남구 봉은사로 지하 102,37.5055809,127.02427673,H,서울특별시,강남구,논현1동,,1168052100,11680521,논현1동
2303, 논현역 10번출구,서울특별시 강남구 학동로 지하 102,37.51137161,127.02146149,H,서울특별시,강남구,논현1동,,1168052100,11680521,논현1동
2304, 대현그린타워,서울특별시 강남구 언주로 626,37.5116272,127.03565216,H,서울특별시,강남구,논현2동,,1168053100,11680531,논현2동
2305, MCM 본사 직영점 앞,서울특별시 강남구 언주로 734,37.52064133,127.03450775,H,서울특별시,강남구,논현2동,,1168053100,11680531,논현2동
2306, 압구정역 2번 출구 옆,서울특별시 강남구 압구정로 지하 172,37.5271225,127.02871704,H,서울특별시,강남구,압구정동,,1168054500,11680545,압구정동
2307, 압구정 한양 3차 아파트,서울특별시 강남구 압구정로 321,37.52838135,127.03901672,H,서울특별시,강남구,압구정동,,1168054500,11680545,압구정동
2308, 압구정파출소 앞,서울특별시 강남구 압구정로 311,37.52930069,127.03559875,H,서울특별시,강남구,압구정동,,1168054500,11680545,압구정동
2309, 청담역(우리들병원 앞),서울특별시 강남구 학동로 443,37.51890182,127.04938507,H,서울특별시,강남구,청담동,,1168056500,11680565,청담동
2310, 청담동 맥도날드 옆(위치),서울특별시 강남구 학동로 지하 508,37.52361298,127.04017639,H,서울특별시,강남구,청담동,,1168056500,11680565,청담동
2311, 학동로 래미안 아파트 앞,서울특별시 강남구 학동로 지하 508,37.51777267,127.04302216,H,서울특별시,강남구,청담동,,1168056500,11680565,청담동
2312, 청담역 13번 출구 앞,서울특별시 강남구 영동대로 703,37.52058029,127.05632782,H,서울특별시,강남구,청담동,,1168056500,11680565,청담동
2313, 금원빌딩 앞,서울특별시 강남구 도산대로 539,37.52511597,127.05246735,H,서울특별시,강남구,청담동,,1168056500,11680565,청담동
2314, 청담나들목입구,서울특별시 강남구 영동대로128길 59,37.52101517,127.06015015,H,서울특별시,강남구,삼성1동,,1168058000,11680580,삼성1동
2315, 봉은사역 5번출구 옆,서울특별시 강남구 봉은사로 지하 601,37.51424789,127.06111908,H,서울특별시,강남구,삼성1동,,1168058000,11680580,삼성1동
2316, 삼성역 8번출구,서울특별시 강남구 영동대로 502,37.50957489,127.0634079,H,서울특별시,강남구,삼성1동,,1168058000,11680580,삼성1동
2317, 삼성도로공원,서울특별시 강남구 영동대로112길 66,37.51588821,127.06620026,H,서울특별시,강남구,삼성1동,,1168058000,11680580,삼성1동
2318, 삼성중앙역4번출구(문화센터더 리빌),서울특별시 강남구 봉은사로 531,37.51357651,127.05503082,H,서울특별시,강남구,삼성1동,,1168058000,11680580,삼성1동
2319, 포스코사거리 서측(수협 삼성동 지점),서울특별시 강남구 테헤란로 435,37.50660706,127.05467987,H,서울특별시,강남구,삼성2동,,1168059000,11680590,삼성2동
2320, 도곡역 대치지구대 방향,서울특별시 강남구 남부순환로 지하 2814,37.4919281,127.05696869,H,서울특별시,강남구,대치1동,,1168060000,11680600,대치1동
2321, 학여울역 사거리,서울특별시 강남구 남부순환로 지하 3104,37.49611664,127.06944275,H,서울특별시,강남구,대치2동,,1168061000,11680610,대치2동
2322, 삼성역 3번 출구,서울특별시 강남구 테헤란로 534,37.50809097,127.06310272,H,서울특별시,강남구,대치2동,,1168061000,11680610,대치2동
