station_id,arrival_7_10_ratio,arrival_11_14_ratio,arrival_17_20_ratio,morning_net_inflow,evening_net_inflow
2301,0.07569410618606917,0.12669264490988796,0.37330735509011204,7.0,1754.0
2302,0.12885245901639344,0.1657049180327869,0.3808524590163934,-125.0,1922.0
2303,0.11752136752136752,0.15842490842490842,0.3598290598290598,-2241.0,910.0
2304,0.1615598885793872,0.18304814962196578,0.31993633107839237,-751.0,-1352.0
2305,0.42904678019181836,0.20297514190643962,0.16715599921706792,1661.0,-1498.0
2306,0.10452654586476769,0.18539801170415285,0.42134950292603823,-3991.0,3268.0
2307,0.09493359567142154,0.19199868830955893,0.3357927529103132,-501.0,-139.0
2308,0.09109089736146055,0.20947035675117734,0.3313979743242371,-1320.0,689.0
2309,0.10180275715800637,0.18584305408271473,0.31601272534464475,-2290.0,-617.0
2310,0.1426563598032326,0.17947997189037246,0.22600140548137737,613.0,-454.0
2311,0.15926605504587155,0.1746788990825688,0.29211009174311925,-801.0,-728.0
2312,0.10307234886025768,0.13957713908159894,0.3645523620746614,-2109.0,465.0
2313,0.3360009017132552,0.12905770964833183,0.20119477006311992,2160.0,-523.0
2314,0.1552890528905289,0.14514145141451415,0.3570110701107011,355.0,443.0
2315,0.17592132710837388,0.20631767160027814,0.3026720969504321,-1714.0,634.0
2317,0.14985295997954226,0.1868047564250096,0.34458509142053445,241.0,724.0
2318,0.16717791411042945,0.2062883435582822,0.3017638036809816,-270.0,-269.0
2319,0.3307993376486527,0.22866174920969443,0.17958753575191932,3096.0,-1423.0
2320,0.1363597721669642,0.21185071835416136,0.29541783558615997,248.0,382.0
2321,0.11623100303951368,0.19112462006079028,0.31465045592705165,-914.0,240.0
2323,0.5853075851085009,0.16414493330678878,0.11049173800517618,5101.0,-3404.0
2324,0.1719911479316802,0.2094989502354877,0.2903024456675935,623.0,603.0
2325,0.14656549520766773,0.2388178913738019,0.32445230488361476,514.0,678.0
2326,0.1405672009864365,0.18865598027127004,0.31763255240443894,-842.0,-1062.0
2327,0.3514735017335314,0.1736627043090639,0.22368746904408124,3382.0,-2262.0
2328,0.29990094105993065,0.20323592537559848,0.21735182433547962,739.0,-443.0
2329,0.27229315893283507,0.22952351292432263,0.20253295961797987,810.0,-214.0
2330,0.16169074371321562,0.18822899946495453,0.30626003210272873,-217.0,-83.0
2331,0.2618317685380341,0.18432649932937345,0.27332822379766236,-39.0,-339.0
2332,0.1439182614336685,0.22367823548491728,0.3271813168991242,-1550.0,2299.0
2333,0.10833233136948418,0.16592521341829986,0.3914873151376698,-3212.0,-1006.0
2334,0.32590529247910865,0.2223769730733519,0.19127205199628597,312.0,-254.0
2335,0.3209378220542769,0.16652353143249743,0.2656589946181152,2844.0,-1277.0
2336,0.20547237996902426,0.22741352607124418,0.2257356737222509,-59.0,-165.0
2337,0.11217097319488047,0.14489253803429122,0.36802704660709973,-1673.0,529.0
2339,0.0967884339476879,0.15219070742743626,0.38527756318287165,-1948.0,713.0
2340,0.2647268887991802,0.13045368443933794,0.26537900195633946,3313.0,-1128.0
2341,0.21302931596091204,0.18192182410423452,0.28387622149837133,-820.0,-2311.0
2342,0.21649244161193798,0.16892705864065596,0.28628609178875375,-157.0,-1149.0
2343,0.17474302496328928,0.14684287812041116,0.33627019089574156,119.0,229.0
2344,0.12400586019254918,0.15864378401004606,0.3067182921724571,-463.0,674.0
2347,0.24100227790432802,0.1480637813211845,0.2519362186788155,-121.0,-1173.0
2348,0.5081910536673582,0.15826285835859794,0.15251848305941174,16019.0,-7627.0
2349,0.19819126419087935,0.23455839907639023,0.2405233788724264,-3425.0,-1500.0
2350,0.14062123765952322,0.17192391042619792,0.31904647242956896,-196.0,199.0
2351,0.15377446411929171,0.1509785647716682,0.3825722273998136,-502.0,-55.0
2352,0.27958579881656803,0.26429980276134124,0.21794871794871795,-210.0,-1332.0
2353,0.09410892923304928,0.19488699518340125,0.3566753118438928,-2184.0,-310.0
2354,0.11787315823190263,0.15310698270339526,0.3763613068545804,-325.0,473.0
2356,0.12412672623883023,0.26255077173030056,0.2818846466287571,-996.0,-399.0
2357,0.29397818871503084,0.20791844476055002,0.23020388809862494,572.0,-271.0
2358,0.13180857903922108,0.1354826857720217,0.3460090015614954,-1608.0,687.0
2359,0.17384810693749533,0.14382794414158764,0.31244865954745726,-878.0,488.0
2360,0.23432505532333414,0.1968691090894189,0.25440537660847473,84.0,-321.0
2362,0.10940714419300543,0.218253226108098,0.33093323358892834,-11.0,446.0
2363,0.20937090432503278,0.19724770642201836,0.22346002621231978,440.0,-445.0
2364,0.2586764388876913,0.20015089458935115,0.21405475317956457,1037.0,-1410.0
2365,0.158109875735775,0.19260954872465663,0.2383093525179856,1203.0,-520.0
2368,0.13585699263932702,0.24248159831756047,0.3055730809674027,-719.0,-546.0
2369,0.21054761808394382,0.2101428744890112,0.2642975674909945,684.0,807.0
2370,0.1939360067067207,0.1896045829258069,0.3191281263099064,-25.0,133.0
2371,0.1903476206547418,0.19777252784340196,0.26999662504218697,-451.0,-1167.0
2372,0.1696576685266174,0.2184185391846378,0.28949881867993765,376.0,424.0
2373,0.12784398699891658,0.2387143373058866,0.3055254604550379,-545.0,94.0
2375,0.32040058827648993,0.15645353316058547,0.23552069472652146,3740.0,-1246.0
2376,0.32930817610062896,0.17140461215932914,0.22465408805031448,2548.0,-1985.0
2377,0.36695006108354733,0.15759555212047172,0.2204991398439253,10143.0,-3075.0
2380,0.20521761591114554,0.15239571225623144,0.21826165568900943,-110.0,-234.0
2381,0.1460254464806817,0.16773666394303724,0.2898330804248862,-480.0,336.0
2382,0.13603141703938038,0.17573906403403514,0.33696956474310025,11.0,97.0
2383,0.22351916376306621,0.1529616724738676,0.2343205574912892,-123.0,259.0
2384,0.0930437434350964,0.12750313421204215,0.42205129942737096,-6238.0,5340.0
2385,0.11815352697095435,0.191597510373444,0.3149377593360996,-1115.0,469.0
2386,0.15769675925925927,0.1814236111111111,0.2838541666666667,-578.0,-603.0
2387,0.1453457680802393,0.17050853422488121,0.354448941286879,-918.0,1594.0
2388,0.19871029376641988,0.17554334845951755,0.3080964891330308,-2743.0,-1279.0
2389,0.13946117274167988,0.1557527733755943,0.3150554675118859,-2582.0,1574.0
2390,0.13085160632330445,0.11106578276389598,0.3741968383477817,-1332.0,1542.0
2391,0.16071428571428573,0.21428571428571427,0.2767857142857143,-53.0,-53.0
2392,0.14705882352941177,0.16013071895424835,0.31862745098039214,-397.0,-402.0
2393,0.5139949109414759,0.10178117048346055,0.15521628498727735,202.0,61.0
2394,0.08421907292589312,0.12127251254797757,0.42936226749335693,-4005.0,1910.0
2396,0.12425241059440986,0.19638715977053584,0.33223483461491515,-461.0,171.0
2398,0.25536723163841807,0.15615819209039547,0.20836158192090395,-477.0,-424.0
2401,0.20492524186455585,0.18088537085898562,0.2541776605101143,-279.0,-780.0
2403,0.08416007134098763,0.14624902463493478,0.3755434176791885,-3853.0,2021.0
2404,0.14358184036473384,0.1422333525974443,0.3287099467026263,-3315.0,1910.0
2405,0.06058936931974663,0.10864775543927292,0.49889837510327734,-8110.0,-119.0
2406,0.17050161067648412,0.26300046019328116,0.28209848136217214,262.0,-504.0
2407,0.18447944217359943,0.2230103390238038,0.295684058667949,386.0,526.0
2408,0.10090191657271702,0.14126268320180382,0.3926719278466742,-1608.0,961.0
2409,0.18317028553249026,0.17959118746520322,0.3160741270977491,182.0,-741.0
2410,0.27003534243958355,0.23536154360492884,0.22695577419046709,-348.0,-1294.0
2411,0.13870967741935483,0.16268526591107235,0.35815170008718394,-1341.0,1019.0
2412,0.15123919308357348,0.12737752161383284,0.3148126801152738,1312.0,2731.0
2413,0.20779415438421184,0.16997252060954285,0.33110167374469146,647.0,188.0
2414,0.30213545704418915,0.2221086757347241,0.2211924730424977,4161.0,-1432.0
2415,0.11748900830483634,0.2290180752320469,0.33590620420127015,-423.0,348.0
2416,0.14730967674002315,0.18963883331578393,0.3571654206591555,-307.0,483.0
2417,0.17851681957186544,0.15481651376146788,0.28956422018348627,-715.0,187.0
2418,0.13925552424736765,0.19612931929408275,0.40745958772059915,-683.0,2477.0
2419,0.16478102189781021,0.17883211678832117,0.30574817518248176,-648.0,442.0
2420,0.10742520539451247,0.14261354828708728,0.4454348163075492,-3545.0,2516.0
2421,0.0871864406779661,0.19430508474576272,0.448271186440678,-1325.0,838.0
2422,0.19084536082474227,0.15628865979381443,0.32618556701030926,-47.0,1109.0
2423,0.10704476547173176,0.18148742643124666,0.3166755840913144,-2306.0,2194.0
2425,0.1914548404542996,0.17009194159004867,0.2577068685776095,233.0,189.0
2426,0.08513477448625567,0.1272128814162441,0.3613557512676808,-4559.0,2124.0
2427,0.16745380727483636,0.16322810506255697,0.29190488027177064,-948.0,392.0
2428,0.19068684516880094,0.20116414435389987,0.2759022118742724,819.0,1185.0
2429,0.14255677039529016,0.1896551724137931,0.3572329688814129,2034.0,5097.0
2430,0.19749543438559874,0.2531959300808766,0.2645447430211323,-1456.0,-308.0
2431,0.16626809720785937,0.20705144777662876,0.2874224405377456,125.0,426.0
3602,0.48885936222403925,0.12019623875715454,0.19358135731807033,2324.0,-1414.0
3604,0.2650898479496237,0.15573644601443712,0.33451082782982644,-1056.0,625.0
3606,0.2077957477739415,0.19671088497183353,0.288933309104125,1276.0,182.0
3609,0.2021531100478469,0.18528708133971292,0.27177033492822966,324.0,-674.0
3610,0.17288284335234752,0.20228170250109698,0.258446687143484,-69.0,-153.0
3611,0.28026424442609416,0.15821635012386456,0.25598678777869527,380.0,-194.0
3612,0.20762842202399262,0.1825592125499846,0.31621039680098434,1210.0,687.0
3614,0.18671759767028479,0.22457546991414848,0.28966377973601604,1576.0,501.0
3615,0.09816073570571772,0.20971611355457817,0.3516593362654938,-910.0,-5.0
3616,0.09432989690721649,0.2034364261168385,0.3190721649484536,-496.0,357.0
3618,0.11958934517203108,0.17543007769145394,0.3657741398446171,-1275.0,1937.0
3620,0.058646616541353384,0.14210526315789473,0.43834586466165415,-1761.0,-588.0
3621,0.3089731729879741,0.2303422756706753,0.21461609620721553,355.0,-979.0
3622,0.15732508697332817,0.17897178198685737,0.2978353304986471,-170.0,285.0
3623,0.13558467741935484,0.16297043010752688,0.3892809139784946,-407.0,723.0
3624,0.08301981439678957,0.20190619513418612,0.33383496363180337,-850.0,-57.0
3627,0.09679161715458572,0.14194663497893487,0.37112455439127146,-240.0,1177.0
3628,0.29473425196850395,0.20816929133858267,0.21914370078740159,3461.0,-1337.0
3629,0.27923844061650044,0.1583991710918275,0.19272115011008936,1708.0,253.0
3630,0.11691359835704855,0.10312454158720845,0.4053102537773214,-1590.0,723.0
3634,0.13888280394304492,0.14326396495071195,0.30010952902519167,-463.0,179.0
3636,0.15369522563767168,0.20564327758572362,0.3070167242829113,-547.0,337.0
3637,0.12946253432718713,0.16849744998038446,0.2738328756375049,-363.0,171.0
3638,0.13867320528538346,0.14602915134177905,0.2991418062934205,19.0,33.0
3640,0.23329621380846324,0.1786609131403118,0.249652004454343,158.0,-136.0
3641,0.2988394584139265,0.15983236621534494,0.2696969696969697,760.0,-1717.0
3642,0.058512646281615704,0.11740279350698377,0.4031710079275198,-4717.0,-1141.0
3643,0.17902477457760657,0.16256675129125447,0.3253961306136742,-630.0,698.0
3644,0.08545962950017476,0.18437609227542817,0.3175463124781545,-1768.0,-1044.0
3646,0.10550103305785125,0.1778150826446281,0.3774535123966942,-759.0,259.0
3647,0.37117251680358476,0.13498879761015684,0.28976848394324123,272.0,-822.0
3648,0.16714285714285715,0.1675,0.26,-57.0,-14.0
3649,0.3538402011994583,0.12400851228477462,0.3315921841748888,45.0,-504.0
3651,0.09024585248850689,0.1845392764341395,0.3614331401159304,-2096.0,1310.0
4901,0.34774870973482824,0.21961203061042892,0.2190781277807439,77.0,-489.0
4902,0.2894633507853403,0.17964659685863874,0.22166230366492146,1085.0,-767.0
4903,0.2556423611111111,0.20399305555555555,0.2743055555555556,796.0,-412.0
4905,0.2858651274109531,0.24686752076587357,0.23813881458538647,2698.0,418.0
4906,0.27474193315527323,0.2317187612791453,0.2461921605428427,4392.0,-482.0
4907,0.13730255164034022,0.17132442284325639,0.33501128276340914,-686.0,206.0
4908,0.24033420707732633,0.20150720838794234,0.2285386631716907,1091.0,-732.0
4909,0.12603305785123967,0.15537190082644628,0.2983471074380165,-414.0,-394.0
4911,0.2500344210381385,0.1517279361145532,0.2624259947680022,1816.0,1906.0
4913,0.25609130546293923,0.19569120287253142,0.2301872274942293,1158.0,-292.0
4914,0.31443056499242145,0.25976062300736946,0.21083991010296346,4731.0,-2058.0
4915,0.20948352626892253,0.18989314336598398,0.22996438112199466,-140.0,22.0
4916,0.11075569772091164,0.14314274290283888,0.38064774090363857,-402.0,86.0
4917,0.12950094756790903,0.1266231487330666,0.3609882782340142,-2565.0,1774.0
4918,0.17929330738134452,0.18558167390327893,0.32153016918700406,1.0,418.0
4919,0.0848,0.16693333333333332,0.30133333333333334,-506.0,39.0
4923,0.13525781970352507,0.18738917653734308,0.3324349244627279,-482.0,7.0
4924,0.23558734286952754,0.20654529692241005,0.23190290420459472,256.0,-227.0
4925,0.3306733167082294,0.16408977556109725,0.18428927680798005,1039.0,-225.0
4926,0.2557562524811433,0.15452560539896784,0.2792774910678841,701.0,-344.0
4928,0.26388271879164815,0.14771212794313637,0.2672145713016437,339.0,-629.0
4929,0.15400538190850754,0.148830469882012,0.23432001655971849,196.0,-99.0
4930,0.27197346600331673,0.23341625207296848,0.2678275290215589,-393.0,132.0
4931,0.07307692307692308,0.16538461538461538,0.3923076923076923,38.0,204.0
4932,0.04746835443037975,0.13449367088607594,0.4409282700421941,90.0,836.0
4933,0.07342378292098962,0.12051077414205906,0.4237829209896249,92.0,531.0
4935,0.07731481481481481,0.13842592592592592,0.3199074074074074,167.0,691.0
