station_id,mapped_dong_code,mapped_dong_name,arrival_7_10_ratio,arrival_11_14_ratio,arrival_17_20_ratio,morning_net_inflow,evening_net_inflow,subway_distance_m,bus_stop_count_300m,life_pop_7_10_mean,life_pop_11_14_mean,life_pop_17_20_mean
2301,11680510,신사동,0.0756941061860691,0.1266926449098879,0.373307355090112,7.0,1754.0,676.3932200344976,20,34711.2626499658,47294.58111371408,44266.38985273598
2302,11680521,논현1동,0.1288524590163934,0.1657049180327869,0.3808524590163934,-125.0,1922.0,129.30158007069147,40,43807.05390064979,51912.863196648424,45663.3832001026
2303,11680521,논현1동,0.1175213675213675,0.1584249084249084,0.3598290598290598,-2241.0,910.0,31.250221522971053,40,43807.05390064979,51912.863196648424,45663.3832001026
2304,11680531,논현2동,0.1615598885793872,0.1830481496219657,0.3199363310783923,-751.0,-1352.0,455.99558563352826,12,48771.59621426129,62230.2112386115,48357.27645215458
2305,11680531,논현2동,0.4290467801918183,0.2029751419064396,0.1671559992170679,1661.0,-1498.0,683.8902474091004,16,48771.59621426129,62230.2112386115,48357.27645215458
2306,11680545,압구정동,0.1045265458647676,0.1853980117041528,0.4213495029260382,-3991.0,3268.0,23.266637636051197,24,40653.44209463064,53924.654357660744,48026.726367510266
2307,11680545,압구정동,0.0949335956714215,0.1919986883095589,0.3357927529103132,-501.0,-139.0,173.99806305580933,20,40653.44209463064,53924.654357660744,48026.726367510266
2308,11680545,압구정동,0.0910908973614605,0.2094703567511773,0.3313979743242371,-1320.0,689.0,484.7372548025296,20,40653.44209463064,53924.654357660744,48026.726367510266
2309,11680565,청담동,0.1018027571580063,0.1858430540827147,0.3160127253446447,-2290.0,-617.0,353.45653787576214,32,44485.18132588919,53001.089906737354,42721.22389463064
2310,11680565,청담동,0.1426563598032326,0.1794799718903724,0.2260014054813773,613.0,-454.0,420.1698862481745,28,44485.18132588919,53001.089906737354,42721.22389463064
2311,11680565,청담동,0.1592660550458715,0.1746788990825688,0.2921100917431192,-801.0,-728.0,168.44798043937465,36,44485.18132588919,53001.089906737354,42721.22389463064
2312,11680565,청담동,0.1030723488602576,0.1395771390815989,0.3645523620746614,-2109.0,465.0,295.3513348985482,36,44485.18132588919,53001.089906737354,42721.22389463064
2313,11680565,청담동,0.3360009017132552,0.1290577096483318,0.2011947700631199,2160.0,-523.0,644.1989428798224,28,44485.18132588919,53001.089906737354,42721.22389463064
2314,11680580,삼성1동,0.1552890528905289,0.1451414514145141,0.3570110701107011,355.0,443.0,627.1679745915606,8,44052.2044621751,68106.46228580711,46531.80653272913
2315,11680580,삼성1동,0.1759213271083738,0.2063176716002781,0.3026720969504321,-1714.0,634.0,77.16079792992284,36,44052.2044621751,68106.46228580711,46531.80653272913
2317,11680580,삼성1동,0.1498529599795422,0.1868047564250096,0.3445850914205344,241.0,724.0,557.0782178184421,20,44052.2044621751,68106.46228580711,46531.80653272913
2318,11680580,삼성1동,0.1671779141104294,0.2062883435582822,0.3017638036809816,-270.0,-269.0,166.57297561818308,16,44052.2044621751,68106.46228580711,46531.80653272913
2319,11680590,삼성2동,0.3307993376486527,0.2286617492096944,0.1795875357519193,3096.0,-1423.0,553.4290212076004,40,43883.83807841997,47708.349203659374,38582.2189622435
2320,11680600,대치1동,0.1363597721669642,0.2118507183541613,0.2954178355861599,248.0,382.0,174.4177059112112,32,27048.917656600548,28649.684428112178,33072.03014121067
2321,11680610,대치2동,0.1162310030395136,0.1911246200607902,0.3146504559270516,-914.0,240.0,118.34789748598486,28,54042.53933621752,64417.24090506156,55294.00449155267
2323,11680610,대치2동,0.5853075851085009,0.1641449333067887,0.1104917380051761,5101.0,-3404.0,685.5983061163457,28,54042.53933621752,64417.24090506156,55294.00449155267
2324,11680610,대치2동,0.1719911479316802,0.2094989502354877,0.2903024456675935,623.0,603.0,570.0386388309337,32,54042.53933621752,64417.24090506156,55294.00449155267
2325,11680630,대치4동,0.1465654952076677,0.2388178913738019,0.3244523048836147,514.0,678.0,589.106388130041,24,39589.97909316005,50739.38959329685,50623.27934124487
