station_id,same_station_return_ratio,net_flow_mean,abs_net_flow_mean,morning_peak_ratio,evening_peak_ratio,lunch_ratio
2301,0.4114583333333333,-5.845403899721449,6.928969359331476,0.07334558823529412,0.28106617647058824,0.09993872549019608
2302,0.1102805121752646,-2.447887323943662,4.833802816901408,0.12212271482495744,0.21656428095625788,0.11886610909629192
2303,0.06661437615552691,2.009575923392613,4.854993160054719,0.1878536612695389,0.20628606644629952,0.14415373410275084
2304,0.03490759753593429,4.8379160636758325,5.246020260492041,0.1497262149212868,0.26112251882272414,0.1273100616016427
2305,0.05219164118246687,-0.16302765647743814,2.491994177583697,0.08990825688073395,0.31906218144750254,0.1600407747196738
2306,0.128382949932341,1.6333789329685362,5.928864569083447,0.18619756427604872,0.21576454668470907,0.13301759133964816
2307,0.08968219416630388,1.1237830319888735,3.0737134909596664,0.10999854883180961,0.2237701349586417,0.1497605572485851
2308,0.23299556681443953,0.40054869684499317,3.843621399176955,0.11177960734642178,0.20823305889803673,0.17764407853071565
2309,0.036582278481012656,5.846045197740113,6.2076271186440675,0.2988607594936709,0.16658227848101265,0.10784810126582278
2310,0.0672114743162108,-1.5263888888888888,2.826388888888889,0.0456971314209473,0.23482321547698465,0.12091394262841895
2311,0.027301365068253414,4.327089337175792,4.747838616714698,0.17325866293314665,0.1848092404620231,0.15488274413720687
2312,0.08154724159797083,2.585434173669468,3.5238095238095237,0.31705770450221943,0.14229549778059608,0.09613189600507292
2313,0.14126712328767124,-2.5523415977961434,3.618457300275482,0.08789954337899543,0.18164954337899544,0.1334189497716895
2314,0.2933139005283294,-1.4560357675111772,2.77645305514158,0.09218436873747494,0.25815266897431227,0.13390417198032428
2315,0.08091787439613526,0.979253112033195,3.4688796680497926,0.2839093273875883,0.14557785209959123,0.1551467855815682
2317,0.21528662420382166,-2.839622641509434,4.013207547169811,0.12245222929936306,0.2337579617834395,0.1735668789808917
2318,0.04059040590405904,1.4094256259204714,2.3608247422680413,0.1521430598921374,0.2293499858075504,0.13880215725234177
2319,0.11762563729060452,-3.1671270718232045,4.040055248618785,0.0863073561544064,0.21176256372906044,0.19109613983976692
2320,0.1054044049602073,-1.4154302670623145,3.649851632047478,0.08893207477327411,0.21913751619470664,0.14010734776975753
2321,0.1374678813361364,0.4868965517241379,2.633103448275862,0.1762438682550806,0.20007007708479327,0.15942536790469516
2323,0.11128065395095368,-1.1872340425531915,3.1900709219858157,0.06550408719346049,0.22212534059945505,0.21013623978201634
2324,0.13495132684357913,-3.595890410958904,4.552054794520548,0.12028270436058142,0.22189625283371117,0.1480864115215362
2325,0.06417051347808743,0.02880658436213992,3.4252400548696844,0.09095571892631218,0.20653103094546077,0.14315837465093748
