target,feature,alpha,coefficient
rental_count,intercept,1000.0,-0.33419907864241805
rental_count,base_value,1000.0,0.04451304877459116
rental_count,month_weight,1000.0,0.08935221523269152
rental_count,year_weight,1000.0,1.2629106094452167e-29
rental_count,hour_weight,1000.0,0.20783675057764353
rental_count,pattern_prior,1000.0,0.23407719486120782
rental_count,corrected_pattern_prior,1000.0,0.7704035694021547
rental_count,day_type_weekday,1000.0,-0.004919262745162094
rental_count,day_type_offday,1000.0,0.004919262745162116
return_count,intercept,100.0,0.11807903885405224
return_count,base_value,100.0,-0.1214936803749816
return_count,month_weight,100.0,-0.02763190541279175
return_count,year_weight,100.0,1.0453660311047384e-28
return_count,hour_weight,100.0,-0.265158052940282
return_count,pattern_prior,100.0,-0.07571118062328147
return_count,corrected_pattern_prior,100.0,1.3962692531392789
return_count,day_type_weekday,100.0,-0.03957761202039997
return_count,day_type_offday,100.0,0.039577612020401845
