target,feature,alpha,coefficient
rental_count,intercept,100.0,0.2606502430292654
rental_count,base_value,100.0,-0.09798601688417356
rental_count,month_weight,100.0,-0.0019338167150626283
rental_count,year_weight,100.0,0.0
rental_count,hour_weight,100.0,-0.3778412487790724
rental_count,pattern_prior,100.0,-0.1866934404539109
rental_count,corrected_pattern_prior,100.0,1.1698644477993845
rental_count,day_type_weekday,100.0,-0.0044286550037662825
rental_count,day_type_offday,100.0,0.004428655003767582
return_count,intercept,0.001,-0.1285570716692066
return_count,base_value,0.001,0.0015579279551719556
return_count,month_weight,0.001,0.45175972807319636
return_count,year_weight,0.001,1.103322694732238e-23
return_count,hour_weight,0.001,-0.21126938463588116
return_count,pattern_prior,0.001,-0.2757293969591348
return_count,corrected_pattern_prior,0.001,1.3109637693136629
return_count,day_type_weekday,0.001,0.054981704586573414
return_count,day_type_offday,0.001,-0.05498170438881754
