target,feature,alpha,coefficient
rental_count,intercept,0.001,0.8231322997462994
rental_count,base_value,0.001,-0.040178520512921714
rental_count,month_weight,0.001,0.09199425170007411
rental_count,year_weight,0.001,-1.5016162771624123e-23
rental_count,hour_weight,0.001,-0.8850242525717283
rental_count,pattern_prior,0.001,-0.661765576036632
rental_count,corrected_pattern_prior,0.001,1.617890021019423
rental_count,day_type_weekday,0.001,0.009092696132063642
rental_count,day_type_offday,0.001,-0.009092696364739847
return_count,intercept,100.0,0.07141480161058289
return_count,base_value,100.0,-0.13327209584700414
return_count,month_weight,100.0,-0.23633439972384418
return_count,year_weight,100.0,0.0
return_count,hour_weight,100.0,-0.014874485513828455
return_count,pattern_prior,100.0,0.40584687341508896
return_count,corrected_pattern_prior,100.0,1.5058825266889735
return_count,day_type_weekday,100.0,0.0794705964000754
return_count,day_type_offday,100.0,-0.07947059640007827
