target,feature,alpha,coefficient
rental_count,intercept,100.0,0.2149782946923191
rental_count,base_value,100.0,-0.006921296038435077
rental_count,month_weight,100.0,0.21014948649173198
rental_count,year_weight,100.0,-1.0163950148732345e-28
rental_count,hour_weight,100.0,-0.31443981325209075
rental_count,pattern_prior,100.0,-0.5287132211830554
rental_count,corrected_pattern_prior,100.0,1.4690884894845204
rental_count,day_type_weekday,100.0,0.05353475037696194
rental_count,day_type_offday,100.0,-0.053534750376980585
return_count,intercept,100.0,0.6966291874119932
return_count,base_value,100.0,-0.17042391050323608
return_count,month_weight,100.0,-0.2811578469964691
return_count,year_weight,100.0,-5.444315336268224e-28
return_count,hour_weight,100.0,-0.4675382281389535
return_count,pattern_prior,100.0,-0.19536637152533734
return_count,corrected_pattern_prior,100.0,2.1939767992950703
return_count,day_type_weekday,100.0,0.49544550679908966
return_count,day_type_offday,100.0,-0.49544550679910604
