target,feature,alpha,coefficient
rental_count,intercept,0.001,-0.03670413896234748
rental_count,base_value,0.001,0.10086280909291401
rental_count,month_weight,0.001,0.2358569039349385
rental_count,year_weight,0.001,9.942411380044436e-24
rental_count,hour_weight,0.001,-0.25844892461070873
rental_count,pattern_prior,0.001,-0.21601966949523377
rental_count,corrected_pattern_prior,0.001,1.0515556971077509
rental_count,day_type_weekday,0.001,-0.013834521251850977
rental_count,day_type_offday,0.001,0.013834521362160747
return_count,intercept,0.001,-0.13912439192917048
return_count,base_value,0.001,-0.018116028257029404
return_count,month_weight,0.001,0.0973145702295501
return_count,year_weight,0.001,-5.32384150153449e-24
return_count,hour_weight,0.001,0.011205332188744798
return_count,pattern_prior,0.001,0.04685647436414422
return_count,corrected_pattern_prior,0.001,0.9490213277958587
return_count,day_type_weekday,0.001,-0.01026127888755128
return_count,day_type_offday,0.001,0.010261279156437217
