target,feature,alpha,coefficient
rental_count,intercept,0.001,0.5615915231875879
rental_count,base_value,0.001,0.02078204242918359
rental_count,month_weight,0.001,-0.2186161934735902
rental_count,year_weight,0.001,0.0
rental_count,hour_weight,0.001,-0.6860575247161916
rental_count,pattern_prior,0.001,-0.17670258529216173
rental_count,corrected_pattern_prior,0.001,1.2706214908238942
rental_count,day_type_weekday,0.001,0.0024627783898461264
rental_count,day_type_offday,0.001,-0.0024627785018372602
return_count,intercept,100.0,-0.4083871589924364
return_count,base_value,100.0,0.016266345383623114
return_count,month_weight,100.0,0.2411890792267183
return_count,year_weight,100.0,-9.128953605084422e-29
return_count,hour_weight,100.0,0.3961403329503293
return_count,pattern_prior,100.0,0.12698249109930956
return_count,corrected_pattern_prior,100.0,0.6507729816677027
return_count,day_type_weekday,100.0,0.019703099404577915
return_count,day_type_offday,100.0,-0.019703099404577783
