station_id,time,실제값,예측값,절대오차
4940,2025-09-27 19:00:00,-29,0.41347751372395586,29.413477513723954
4940,2025-09-27 20:00:00,20,-0.14413544345382792,20.144135443453827
4940,2025-09-13 17:00:00,-16,0.9631067587595908,16.96310675875959
4940,2025-09-21 20:00:00,19,2.2156693304342325,16.78433066956577
4940,2025-09-13 22:00:00,17,0.8922986544915018,16.1077013455085
4940,2025-08-30 21:00:00,20,3.8939222518583043,16.106077748141697
4940,2025-10-08 21:00:00,16,0.08584463275703717,15.914155367242962
3620,2024-05-24 08:00:00,-16,-0.14183864630853774,15.858161353691463
3627,2023-04-09 16:00:00,-15,0.5668996929274009,15.5668996929274
4940,2025-09-23 21:00:00,-12,3.2977080492253243,15.297708049225324
3620,2024-09-24 08:00:00,-18,-2.855572151943674,15.144427848056326
4940,2025-09-13 21:00:00,-13,1.4744883559143478,14.474488355914348
4914,2025-05-08 17:00:00,-14,0.01619308395406744,14.016193083954068
3620,2024-06-17 09:00:00,-15,-1.0307035689839588,13.96929643101604
4938,2025-10-22 19:00:00,17,3.057551497928435,13.942448502071565
4940,2025-10-04 20:00:00,-5,8.897983611106868,13.897983611106868
3620,2023-03-31 08:00:00,-15,-1.1186784701758323,13.881321529824168
3642,2024-04-19 07:00:00,-15,-1.163855992194792,13.836144007805208
3642,2024-05-14 07:00:00,-16,-2.3035022993050935,13.696497700694906
3627,2025-05-25 16:00:00,14,0.3577086352829648,13.642291364717035
3642,2023-08-22 07:00:00,-14,-0.45526441018735636,13.544735589812644
