항목,값
평균잔차,0.0020767794370742934
잔차표준편차,0.9527946055945989
잔차최소,-29.413477513723954
잔차 1사분위,-0.07529621163227908
잔차 중앙값,-0.0009444284380384175
잔차 3사분위,0.07399811188443048
잔차최대,20.144135443453827
최적모델 MAE,0.4902158886249672
최적모델 RMSE,0.9527968689405927
최적모델 R²,0.11620665543149178
