actual,0,1,2,3,4,5,6,7,9
0,3899,1691,187,20,3,0,0,0,0
1,540,971,231,38,10,2,0,0,0
2,92,434,176,31,12,1,0,0,0
3,18,168,64,20,8,1,0,0,0
4,1,51,31,6,4,0,0,0,0
5,0,13,19,4,0,0,0,0,0
6,0,2,7,2,0,0,0,0,0
7,0,1,1,0,0,0,0,0,0
9,0,0,1,0,0,0,0,0,0
