weight_lightgbm,weight_xgboost,weight_random_forest,rmse,mae,r2,exact_match_hits_rounded,exact_match_rate_rounded,bucket_accuracy_0_1_2_3plus,n_samples
0.0,0.0,1.0,0.9212857410525068,0.6470362021857923,0.2606752409027292,4600,0.52367941712204,0.5322176684881603,8784
0.0,0.05,0.95,0.9194789615940074,0.6455819255833772,0.2635722507652497,4621,0.5260701275045537,0.5344945355191257,8784
0.0,0.1,0.9,0.9178669024103211,0.6442531385047503,0.2661522433009592,4631,0.5272085610200364,0.5356329690346083,8784
0.0,0.15,0.85,0.9164505910553159,0.6430405215706431,0.2684152185098576,4639,0.5281193078324226,0.5366575591985429,8784
0.0,0.2,0.8,0.9152309362832719,0.6419622697109195,0.2703611763919449,4651,0.5294854280510018,0.5383652094717668,8784
0.0,0.25,0.75,0.9142087251789209,0.6409535693861169,0.27199011694722086,4660,0.5305100182149363,0.539275956284153,8784
0.0,0.3,0.7,0.9133846206476093,0.6400468761927895,0.27330204017568593,4669,0.5315346083788707,0.5403005464480874,8784
0.0,0.35,0.65,0.9127591592840265,0.6392347074406567,0.2742969460773399,4683,0.5331284153005464,0.5414389799635702,8784
0.0,0.4,0.6,0.9123327496353428,0.6385245988420368,0.27497483465218264,4678,0.5325591985428051,0.5410974499089253,8784
0.0,0.45,0.55,0.9121056708717932,0.6378743759343936,0.2753357059002143,4683,0.5331284153005464,0.5414389799635702,8784
0.0,0.5,0.5,0.9120780718747595,0.6372841550070707,0.2753795598214349,4686,0.5334699453551912,0.5417805100182149,8784
0.0,0.55,0.45,0.9122499707492846,0.6367720341726443,0.2751063964158442,4698,0.5348360655737705,0.5431466302367942,8784
0.0,0.6,0.4,0.9126212547647345,0.6363399500021851,0.27451621568344264,4697,0.5347222222222222,0.5430327868852459,8784
0.0,0.65,0.35,0.9131916807240651,0.6360312106976915,0.27360901762422973,4714,0.5366575591985429,0.5446265938069217,8784
0.0,0.7,0.3,0.9139608757588716,0.6358521407599879,0.2723848022382058,4710,0.5362021857923497,0.543943533697632,8784
0.0,0.75,0.25,0.914928338544173,0.6357926240808914,0.2708435695253709,4710,0.5362021857923497,0.5438296903460837,8784
0.0,0.8,0.2,0.9160934409237271,0.6359161058854998,0.2689853194857248,4718,0.5371129326047359,0.5446265938069217,8784
0.0,0.85,0.15,0.9174554299336531,0.6361971922860641,0.26681005211926767,4715,0.536771402550091,0.5443989071038251,8784
0.0,0.9,0.1,0.919013430209271,0.6365979649348679,0.2643177674259992,4711,0.536316029143898,0.543943533697632,8784
0.0,0.95,0.05,0.9207664467574139,0.6371347924019524,0.26150846540591977,4716,0.5368852459016393,0.5449681238615665,8784
0.0,1.0,0.0,0.9227133680740367,0.6377862462745302,0.2583821460590292,4718,0.5371129326047359,0.5453096539162113,8784
0.05,0.0,0.95,0.9193445519232342,0.6452361676350371,0.2637875374238381,4619,0.5258424408014571,0.5342668488160291,8784
0.05,0.05,0.9,0.917682449879522,0.6438550547800036,0.26644715855448053,4632,0.5273224043715847,0.5359744990892532,8784
0.05,0.1,0.85,0.9162159669323751,0.6426193596422188,0.26878976235831176,4653,0.5297131147540983,0.5381375227686703,8784
0.05,0.15,0.8,0.9149460437019055,0.6415099884784362,0.27081534883533187,4663,0.530851548269581,0.5396174863387978,8784
0.05,0.2,0.75,0.9138734996096054,0.6404729209668489,0.272523917985541,4671,0.5317622950819673,0.5403005464480874,8784
