weight_lightgbm,weight_xgboost,weight_random_forest,rmse,mae,r2,exact_match_hits_rounded,exact_match_rate_rounded,bucket_accuracy_0_1_2_3plus,n_samples
0.0,0.0,1.0,1.0199647001374172,0.7179510473588342,0.17025982157564234,4336,0.4936247723132969,0.5007969034608379,8784
0.0,0.05,0.95,1.0188416822504425,0.7168159976831382,0.1720859633664482,4332,0.4931693989071038,0.5003415300546448,8784
0.0,0.1,0.9,1.0178847972026939,0.7158080885716802,0.17364036883441036,4351,0.49533242258652094,0.5025045537340619,8784
0.0,0.15,0.85,1.0170945138888443,0.7149105003026744,0.1749230379795288,4366,0.497040072859745,0.5043260473588342,8784
0.0,0.2,0.8,1.016471220896174,0.7141101484273074,0.1759339708018034,4361,0.49647085610200364,0.5036429872495446,8784
0.0,0.25,0.75,1.0160152255544646,0.7134065402640066,0.1766731673012346,4370,0.49749544626593806,0.504667577413479,8784
0.0,0.3,0.7,1.01572675318108,0.7128221207554412,0.17714062747782178,4374,0.4979508196721312,0.5050091074681239,8784
0.0,0.35,0.65,1.015605946525534,0.7123509338009658,0.17733635133156533,4382,0.4988615664845173,0.5061475409836066,8784
0.0,0.4,0.6,1.015652865416738,0.7120090833754463,0.1772603388624654,4389,0.4996584699453552,0.5070582877959927,8784
0.0,0.45,0.55,1.0158674866149588,0.7117907900837668,0.1769125900705214,4380,0.49863387978142076,0.5058060109289617,8784
0.0,0.5,0.5,1.0162497038693366,0.7117064056253739,0.17629310495573425,4378,0.49840619307832423,0.505464480874317,8784
0.0,0.55,0.45,1.016799328180636,0.7117409220897168,0.17540188351810282,4391,0.4998861566484517,0.5068306010928961,8784
0.0,0.6,0.4,1.0175160882677134,0.7118763850797634,0.174238925757628,4399,0.5007969034608379,0.5078551912568307,8784
0.0,0.65,0.35,1.0183996312350194,0.712140123368925,0.17280423167430958,4404,0.5013661202185792,0.5083105646630237,8784
0.0,0.7,0.3,1.0194495234373184,0.7125524176097623,0.17109780126814722,4401,0.5010245901639344,0.5080828779599271,8784
