source_year,station_id,station_name,주소,latitude,longitude,total_return_count,return_7_10_count,return_11_14_count,return_17_20_count,arrival_7_10_ratio,arrival_11_14_ratio,arrival_17_20_ratio,dominant_window,district_hypothesis
2025,2328, 르네상스 호텔 사거리 역삼지하보도 7번출구 앞,서울특별시 강남구 언주로 506,37.50321198,127.04273224,4986,1570,1038,1069,0.3148816686722824,0.20818291215403129,0.21440032089851585,return_7_10_count,업무/상업지구 후보
2025,2329, 르네상스호텔사거리 역삼지하보도 2번출구,서울특별시 강남구 테헤란로 지하 156,37.50235748,127.04319,2964,587,720,626,0.19804318488529016,0.242914979757085,0.21120107962213225,return_11_14_count,점심 상권/업무지구 후보
2025,2330, 역삼월드메르디앙아파트 앞,서울특별시 강남구 도곡로 183,37.49219894,127.03945923,4910,853,1171,1336,0.17372708757637476,0.2384928716904277,0.2720977596741344,return_17_20_count,주거지구 후보
2025,2331, 동영문화센터앞,서울특별시 강남구 언주로 337,37.49805069,127.04460144,3900,1008,629,1105,0.25846153846153846,0.16128205128205128,0.2833333333333333,return_17_20_count,주거지구 후보
2025,2332, 선릉역3번출구,서울특별시 강남구 선릉로 435,37.50400925,127.0490799,13492,1786,2941,4475,0.13237474058701454,0.21798102579306255,0.33167803142603025,return_17_20_count,주거지구 후보
2025,2333, 양재역 3번출구 주변,서울특별시 강남구 강남대로 240,37.48515701,127.03407288,3644,498,551,1357,0.13666300768386389,0.15120746432491766,0.37239297475301864,return_17_20_count,주거지구 후보
2025,2334, 삼호아파트 2동 ( 간선도로),서울특별시 강남구 선릉로 지하 228,37.49375916,127.04589844,1987,747,427,282,0.3759436336185204,0.21489682939104177,0.14192249622546552,return_7_10_count,업무/상업지구 후보
2025,2335, 3호선 매봉역 3번출구앞,서울특별시 강남구 남부순환로 2748,37.48676682,127.04676056,18842,6550,3022,5171,0.3476276403778792,0.1603863708735803,0.27444008067084175,return_7_10_count,업무/상업지구 후보
2025,2336, 강남세브란스교차로 래미안그레이튼 104동 앞,서울특별시 강남구 선릉로 지하 228,37.49423599,127.04746246,3686,785,619,704,0.21296798697775365,0.16793271839392296,0.19099294628323385,return_7_10_count,업무/상업지구 후보
2025,2337, 대모산입구역 2번출구 앞,서울특별시 강남구 영동대로 101,37.49207687,127.07197571,3605,503,440,1303,0.13952843273231622,0.12205270457697642,0.3614424410540915,return_17_20_count,주거지구 후보
