k,inertia,silhouette
2,1272.7917960354825,0.2510800771724062
3,1099.7892416438299,0.26323702998975873
4,964.1032767036136,0.19760778922899788
5,857.2351293711932,0.20130760692584226
6,767.5600767958161,0.19085233739605018
