station_id,station_name,lat,lon,total_returns,avg_duration_min,avg_distance_m,weekday_avg_returns,weekend_avg_returns,avg_daily_returns,return_std,max_daily_returns,weekday_return_ratio,weekday_morning_ratio,weekday_evening_ratio,weekend_day_ratio,night_ratio,weekday_weekend_gap,morning_evening_gap,nearest_subway_m,bus_stop_count_300m,nearest_park_m,park_count_300m,cluster_label,cluster_profile,station_note
2301, 현대고등학교 건너편,37.52407074,127.02178955,11159,49.37539206022045,5259.337053499417,26.302325581395348,42.04807692307692,30.825966850828728,25.160649260765805,122,0.6081190070794874,0.052334438569764316,0.22672282462586255,0.19168384263822924,0.28936284613316604,-15.745751341681572,0.17438838605609824,676.3932200344976,60,1169.5472992568225,0,1,생활도착형,저녁 또는 생활시간대 반납 비중이 높고 생활권 안에서 도착 수요가 모이는 생활도착형으로 볼 수 있음
2302, 교보타워 버스정류장(신논현역 3번출구 후면),37.5055809,127.02427673,6805,22.448934606906686,1947.753576781778,21.327935222672064,15.525252525252526,19.667630057803468,10.306150894060888,54,0.7741366642174872,0.10874357090374724,0.3165319617927994,0.11080088170462894,0.1947097722263042,5.802682697419538,0.20778839088905215,129.30158007069147,113,2325.377527410613,0,1,생활도착형,저녁 또는 생활시간대 반납 비중이 높고 생활권 안에서 도착 수요가 모이는 생활도착형으로 볼 수 있음
2303, 논현역 10번출구,37.51137161,127.02146149,8353,19.135400454926373,1722.2466203759127,25.246153846153845,17.038095238095238,22.884931506849316,12.152326137759905,65,0.7858254519334371,0.10319645636298336,0.2901951394708488,0.09637256075661439,0.23069555848198253,8.208058608058607,0.18699868310786544,31.250221522971053,120,1902.7002973063866,0,1,생활도착형,저녁 또는 생활시간대 반납 비중이 높고 생활권 안에서 도착 수요가 모이는 생활도착형으로 볼 수 있음
2304, 대현그린타워,37.5116272,127.03565216,1316,20.741641337386017,1750.5638677811548,4.25,3.065934065934066,3.928358208955224,2.3255162307680517,11,0.7879939209726444,0.16337386018237082,0.2689969604863222,0.1033434650455927,0.20364741641337386,1.1840659340659339,0.10562310030395139,455.99558563352826,36,1451.9099832858928,0,1,생활도착형,저녁 또는 생활시간대 반납 비중이 높고 생활권 안에서 도착 수요가 모이는 생활도착형으로 볼 수 있음
2305, MCM 본사 직영점 앞,37.52064133,127.03450775,2788,14.673601147776184,1414.2452259684362,8.894941634241246,5.122448979591836,7.853521126760564,4.358374981790464,20,0.8199426111908178,0.3755380200860832,0.14598278335724535,0.08464849354375897,0.13809182209469154,3.772492654649409,-0.22955523672883787,683.8902474091004,48,450.9006871740943,0,0,업무·학교 도착형,평일 아침 반납 비중(0.376)이 저녁보다 높고 평일 비중(0.820)도 높아 업무·학교 도착형으로 볼 수 있음
2306, 압구정역 2번 출구 옆,37.5271225,127.02871704,15212,24.7389560872995,2118.7669865895346,46.11923076923077,30.971153846153847,41.79120879120879,20.00083551065629,90,0.7882592689981593,0.08499868524848804,0.36701288456481723,0.12266631606626348,0.14620036813042336,15.148076923076921,0.2820141993163292,23.266637636051197,72,619.6346411922685,0,1,생활도착형,저녁 또는 생활시간대 반납 비중이 높고 생활권 안에서 도착 수요가 모이는 생활도착형으로 볼 수 있음
2307, 압구정 한양 3차 아파트,37.52838135,127.03901672,3402,26.569958847736626,2339.862542621987,9.537254901960784,9.7,9.583098591549296,5.500975412106705,32,0.7148736037624926,0.07554379776602,0.2619047619047619,0.15373309817754263,0.23074661963550852,-0.1627450980392151,0.18636096413874192,173.99806305580933,60,541.7172119919788,0,1,생활도착형,저녁 또는 생활시간대 반납 비중이 높고 생활권 안에서 도착 수요가 모이는 생활도착형으로 볼 수 있음
2308, 압구정파출소 앞,37.52930069,127.03559875,8782,30.838419494420407,2696.4736574812114,25.397683397683398,21.192307692307693,24.19283746556474,10.620071346615859,54,0.7490321111364154,0.08141653381917559,0.25483944431792305,0.14108403552721477,0.2336597585971305,4.205375705375705,0.17342291049874747,484.7372548025296,60,516.7741125358261,0,1,생활도착형,저녁 또는 생활시간대 반납 비중이 높고 생활권 안에서 도착 수요가 모이는 생활도착형으로 볼 수 있음
2309, 청담역(우리들병원 앞),37.51890182,127.04938507,1931,22.984981874676333,2078.547881926463,5.931726907630522,4.778947368421052,5.613372093023256,3.419025183038435,19,0.7648886587260487,0.08234075608493009,0.2490937338166753,0.11755567063697565,0.24132573795960643,1.1527795392094697,0.1667529777317452,353.45653787576214,96,381.9201251213382,0,1,생활도착형,저녁 또는 생활시간대 반납 비중이 높고 생활권 안에서 도착 수요가 모이는 생활도착형으로 볼 수 있음
2310, 청담동 맥도날드 옆(위치),37.52361298,127.04017639,4368,23.012591575091577,2051.5246863553116,12.505836575875486,11.096153846153847,12.09972299168975,6.136052380149809,29,0.7358058608058609,0.1179029304029304,0.1723901098901099,0.12156593406593406,0.31684981684981683,1.4096827297216397,0.05448717948717949,420.1698862481745,84,469.00325411300037,0,1,생활도착형,저녁 또는 생활시간대 반납 비중이 높고 생활권 안에서 도착 수요가 모이는 생활도착형으로 볼 수 있음
2311, 학동로 래미안 아파트 앞,37.51777267,127.04302216,1401,21.733047822983583,2201.612255531763,4.1755102040816325,4.0212765957446805,4.132743362831858,2.4597508825807353,13,0.7301927194860813,0.11491791577444682,0.2462526766595289,0.12633832976445397,0.2091363311920057,0.154233608336952,0.13133476088508209,168.44798043937465,108,920.8140351415318,0,1,생활도착형,저녁 또는 생활시간대 반납 비중이 높고 생활권 안에서 도착 수요가 모이는 생활도착형으로 볼 수 있음
2312, 청담역 13번 출구 앞,37.52058029,127.05632782,3133,24.179380785189913,2204.2492020427703,9.691699604743082,6.81,8.875354107648725,5.053833935268774,24,0.7826364506862432,0.0967124162144909,0.3032237472071497,0.0951165017555059,0.24321736354931375,2.8816996047430825,0.20651133099265878,295.3513348985482,115,351.642057675519,0,1,생활도착형,저녁 또는 생활시간대 반납 비중이 높고 생활권 안에서 도착 수요가 모이는 생활도착형으로 볼 수 있음
2313, 금원빌딩 앞,37.52511597,127.05246735,4687,21.15489652229571,2123.8432344783446,14.19767441860465,9.846153846153847,12.947513812154696,7.181848997339356,39,0.7815233624919992,0.29613825474717304,0.1657776829528483,0.08000853424365266,0.22039684232984852,4.351520572450804,-0.13036057179432473,644.1989428798224,77,421.43845571544546,0,0,업무·학교 도착형,평일 아침 반납 비중(0.296)이 저녁보다 높고 평일 비중(0.782)도 높아 업무·학교 도착형으로 볼 수 있음
