station_id,station_name,target,feature_set,alpha,split,rmse,mae,r2
2348, 포스코사거리(기업은행),rental_count,baseline,100.0,train,2.021011267907756,1.163364161267669,0.5635931052338883
2348, 포스코사거리(기업은행),rental_count,baseline,100.0,valid,1.9736043337779179,1.1839628354276392,0.6637716386157664
2348, 포스코사거리(기업은행),rental_count,baseline,100.0,test,1.72132517164346,1.0171119228162893,0.5848351939089279
2348, 포스코사거리(기업은행),rental_count,baseline_plus_weekday,100.0,train,2.0160355402329606,1.1676166342535421,0.5657393266373745
2348, 포스코사거리(기업은행),rental_count,baseline_plus_weekday,100.0,valid,1.9772179898876345,1.1948858245135647,0.6625392477130441
2348, 포스코사거리(기업은행),rental_count,baseline_plus_weekday,100.0,test,1.719623274280679,1.0286146658605275,0.585655746124918
2348, 포스코사거리(기업은행),rental_count,baseline_plus_season,0.001,train,2.0190817455689136,1.1610262154119328,0.5644260099254184
2348, 포스코사거리(기업은행),rental_count,baseline_plus_season,0.001,valid,1.9801569345786367,1.1799802299129136,0.6615352961172396
2348, 포스코사거리(기업은행),rental_count,baseline_plus_season,0.001,test,1.7206794416743962,1.022644324046469,0.5851466214972136
2348, 포스코사거리(기업은행),rental_count,baseline_plus_quarter,100.0,train,2.0176507568984516,1.1617522469988728,0.5650432019428735
2348, 포스코사거리(기업은행),rental_count,baseline_plus_quarter,100.0,valid,1.9764441623652096,1.1876963832986276,0.6628033413218093
2348, 포스코사거리(기업은행),rental_count,baseline_plus_quarter,100.0,test,1.7203605849780794,1.0156173458402904,0.5853003590480024
2348, 포스코사거리(기업은행),rental_count,baseline_plus_rush_hour,100.0,train,2.018757270189456,1.1619740431336831,0.5645659960152327
2348, 포스코사거리(기업은행),rental_count,baseline_plus_rush_hour,100.0,valid,1.973599015603767,1.185752384553102,0.663773450649253
2348, 포스코사거리(기업은행),rental_count,baseline_plus_rush_hour,100.0,test,1.7223304375844706,1.020651997687272,0.5843501340093691
2348, 포스코사거리(기업은행),rental_count,baseline_plus_month_day_type,1000.0,train,2.012263874977389,1.1766466452796658,0.5673626648729022
2348, 포스코사거리(기업은행),rental_count,baseline_plus_month_day_type,1000.0,valid,1.995053545591924,1.207411100861248,0.6564236383448994
2348, 포스코사거리(기업은행),rental_count,baseline_plus_month_day_type,1000.0,test,1.7444897460498943,1.0444221166670191,0.5735859227935504
2348, 포스코사거리(기업은행),rental_count,all_extended,1000.0,train,2.0103015609177852,1.177516514624209,0.5682060496671977
2348, 포스코사거리(기업은행),rental_count,all_extended,1000.0,valid,1.9869070975746195,1.206695234417055,0.6592237762308637
2348, 포스코사거리(기업은행),rental_count,all_extended,1000.0,test,1.7341165838411723,1.0428233525252604,0.5786419702728105
2348, 포스코사거리(기업은행),return_count,baseline,100.0,train,2.3385185581511285,1.3829012391106066,0.6408492749871693
2348, 포스코사거리(기업은행),return_count,baseline,100.0,valid,2.4764089874052218,1.510660712804608,0.6701884805632062
2348, 포스코사거리(기업은행),return_count,baseline,100.0,test,2.2219017049826446,1.279719920003301,0.6441103712692614
2348, 포스코사거리(기업은행),return_count,baseline_plus_weekday,0.001,train,2.2161637750109757,1.2902397392742473,0.6774486905169392
2348, 포스코사거리(기업은행),return_count,baseline_plus_weekday,0.001,valid,2.3483746103222694,1.3879918301323488,0.7034104603195734
2348, 포스코사거리(기업은행),return_count,baseline_plus_weekday,0.001,test,2.078036829149925,1.2047998512053062,0.6887050120975484
2348, 포스코사거리(기업은행),return_count,baseline_plus_season,10.0,train,2.32538163937001,1.3782083137954497,0.6448730887271403
2348, 포스코사거리(기업은행),return_count,baseline_plus_season,10.0,valid,2.4700041599660922,1.4901701314427647,0.6718922816797535
2348, 포스코사거리(기업은행),return_count,baseline_plus_season,10.0,test,2.2285560119373446,1.2975167550683153,0.6419754927999112
2348, 포스코사거리(기업은행),return_count,baseline_plus_quarter,100.0,train,2.335842890052035,1.38212288584119,0.6416706654164095
2348, 포스코사거리(기업은행),return_count,baseline_plus_quarter,100.0,valid,2.4839004310661132,1.519008622943739,0.6681900210088866
2348, 포스코사거리(기업은행),return_count,baseline_plus_quarter,100.0,test,2.221580732837794,1.2767544796056411,0.6442131862645641
2348, 포스코사거리(기업은행),return_count,baseline_plus_rush_hour,0.001,train,2.262245676402184,1.3604407687327726,0.6638952581200832
2348, 포스코사거리(기업은행),return_count,baseline_plus_rush_hour,0.001,valid,2.3907595629503318,1.4691608465342039,0.6926077735420543
2348, 포스코사거리(기업은행),return_count,baseline_plus_rush_hour,0.001,test,2.106194026103371,1.2395578928914304,0.6802118247523663
2348, 포스코사거리(기업은행),return_count,baseline_plus_month_day_type,100.0,train,2.1837516813103863,1.286793045146069,0.6868145259681041
2348, 포스코사거리(기업은행),return_count,baseline_plus_month_day_type,100.0,valid,2.3406081730898882,1.3584070567430837,0.7053689511933408
2348, 포스코사거리(기업은행),return_count,baseline_plus_month_day_type,100.0,test,2.182162838069414,1.289255349189783,0.6567267524660892
